salary_usd,job_title,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,education_required,years_experience,industry
90376.0,AI Research Scientist,2,2,China,1,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",0,9,Automotive
61895.0,AI Software Engineer,0,2,Canada,1,100,"Deep Learning, AWS, Mathematics, Python, Docker",2,1,Media
152626.0,AI Specialist,1,3,Switzerland,2,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",1,2,Education
80215.0,NLP Engineer,2,3,India,1,50,"Scala, SQL, Linux, Python",3,7,Consulting
63910.079999999994,AI Consultant,0,1,France,0,100,"MLOps, Java, Tableau, Python",2,0,Media
144581.58,AI Architect,2,2,Germany,1,50,"Data Visualization, R, SQL, Linux",1,7,Healthcare
108351.20000000001,Principal Data Scientist,1,3,United Kingdom,0,0,"R, Docker, MLOps",1,3,Gaming
82648.79999999999,NLP Engineer,0,3,France,2,0,"Python, SQL, Computer Vision, Java, Azure",2,0,Healthcare
160710.0,Data Analyst,2,2,Singapore,2,0,"Hadoop, Git, Mathematics, Python",3,7,Government
102557.0,AI Software Engineer,2,1,Austria,1,0,"MLOps, GCP, Scala, Azure, Linux",2,5,Government
102322.0,Autonomous Systems Engineer,2,1,Sweden,1,100,"MLOps, Python, SQL",1,8,Telecommunications
115047.0,AI Architect,3,2,South Korea,0,0,"R, Data Visualization, Python, Azure",2,15,Manufacturing
145495.34999999998,AI Consultant,2,2,France,1,100,"Tableau, Python, TensorFlow",3,5,Automotive
68760.0,Autonomous Systems Engineer,0,2,Norway,0,0,"Scala, SQL, Statistics",2,0,Energy
150122.0,AI Research Scientist,2,0,Sweden,1,100,"PyTorch, Python, Data Visualization, GCP",1,6,Technology
107230.56000000001,AI Product Manager,0,1,United Kingdom,2,0,"Linux, Statistics, Deep Learning",3,0,Consulting
59823.0,Principal Data Scientist,0,0,India,2,100,"Tableau, NLP, Spark",0,1,Real Estate
211932.62999999998,Machine Learning Engineer,3,2,France,2,100,"MLOps, PyTorch, Azure",1,15,Real Estate
155300.0,Data Engineer,2,2,Singapore,1,0,"Git, Hadoop, R, Python, Spark",1,9,Finance
109805.67,Research Scientist,1,1,Netherlands,2,100,"Java, Scala, NLP, Docker, Computer Vision",3,4,Transportation
134197.0,Data Engineer,1,0,Norway,1,0,"Deep Learning, AWS, Azure",0,3,Telecommunications
102550.0,Autonomous Systems Engineer,1,1,United States,1,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",0,2,Automotive
116276.93999999999,ML Ops Engineer,2,2,Germany,0,0,"Hadoop, Git, Tableau",3,7,Automotive
52167.0,AI Product Manager,1,0,Austria,1,100,"Git, Hadoop, Docker",2,4,Telecommunications
53923.0,ML Ops Engineer,1,0,China,0,0,"AWS, Azure, Git, SQL, Computer Vision",0,2,Healthcare
109779.0,Robotics Engineer,2,1,Israel,2,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",3,6,Government
80979.0,ML Ops Engineer,1,2,Australia,0,50,"Hadoop, Linux, Git, Scala",2,2,Media
52997.0,Data Analyst,1,1,Austria,1,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",3,2,Government
42819.0,Head of AI,0,2,Ireland,1,50,"Python, Scala, NLP, Mathematics, Git",3,0,Healthcare
82083.0,ML Ops Engineer,1,2,Israel,2,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",2,2,Retail
78960.95999999999,Head of AI,0,0,Netherlands,1,100,"Deep Learning, GCP, AWS, Linux, Tableau",2,1,Retail
68624.0,Research Scientist,0,0,Denmark,1,0,"Azure, Python, Spark",2,1,Real Estate
146852.0,Robotics Engineer,2,0,Switzerland,0,50,"NLP, Scala, Python",3,7,Real Estate
178183.0,ML Ops Engineer,3,3,Finland,1,0,"Tableau, Azure, GCP, Linux, Python",1,16,Education
150864.0,Deep Learning Engineer,2,3,Sweden,2,0,"R, GCP, MLOps, Linux",3,8,Consulting
126942.0,Head of AI,3,2,Finland,2,0,"Git, Hadoop, Data Visualization",1,10,Finance
53752.0,AI Architect,1,1,Japan,1,100,"Data Visualization, Tableau, AWS, Mathematics, Python",1,2,Telecommunications
111381.0,Robotics Engineer,3,2,Israel,0,0,"Linux, PyTorch, SQL, Statistics",2,18,Government
41430.0,AI Specialist,0,1,China,1,50,"Tableau, Docker, GCP",0,1,Healthcare
194313.59999999998,Data Engineer,3,3,Netherlands,2,100,"Computer Vision, Azure, Tableau",1,15,Government
96956.0,Data Scientist,1,0,United States,1,0,"Data Visualization, Azure, Spark, MLOps",0,2,Telecommunications
196954.0,AI Architect,2,3,United States,2,50,"Java, Mathematics, SQL",0,8,Finance
56745.0,AI Specialist,0,1,Finland,2,100,"Spark, Mathematics, GCP",1,1,Telecommunications
113455.0,Machine Learning Researcher,2,0,Singapore,1,50,"Hadoop, Docker, Python, Azure",1,8,Retail
185805.36,ML Ops Engineer,2,1,Netherlands,1,50,"Docker, R, Linux",0,5,Media
174663.0,AI Research Scientist,2,2,United States,1,50,"Data Visualization, Statistics, R",1,7,Media
46753.0,AI Research Scientist,0,2,India,0,50,"Scala, Java, Tableau",3,1,Manufacturing
69020.0,AI Software Engineer,1,3,China,2,0,"Java, Azure, GCP",0,4,Energy
288815.0,AI Specialist,3,1,Switzerland,0,0,"Deep Learning, Git, Data Visualization, Linux, Java",0,12,Manufacturing
124871.0,AI Consultant,3,3,Austria,1,50,"Hadoop, AWS, Linux, Docker, Statistics",3,19,Media
82357.47,AI Architect,1,0,Germany,0,0,"Deep Learning, SQL, Mathematics",3,4,Government
115376.0,Research Scientist,3,0,India,1,100,"Linux, R, Azure, Mathematics, Git",2,17,Technology
106579.0,Research Scientist,1,1,United States,0,100,"Docker, Tableau, Mathematics",1,3,Gaming
135230.0,Data Scientist,2,1,Norway,0,100,"R, PyTorch, Kubernetes, Computer Vision",3,8,Consulting
67607.0,Research Scientist,1,1,Israel,0,50,"Python, Tableau, TensorFlow, AWS",2,4,Media
88470.0,AI Architect,1,1,Canada,2,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",1,3,Real Estate
79863.0,Autonomous Systems Engineer,1,3,India,2,100,"Python, Docker, GCP, Scala",1,4,Automotive
60299.0,Machine Learning Engineer,0,1,Israel,2,100,"Git, Linux, Python, TensorFlow, Mathematics",3,0,Finance
100204.65,Machine Learning Engineer,1,0,Germany,1,0,"PyTorch, Computer Vision, R",1,4,Transportation
149901.92,AI Software Engineer,2,3,United Kingdom,0,0,"R, Spark, AWS",1,8,Media
49365.0,Data Scientist,0,0,China,1,0,"Tableau, NLP, Azure, Statistics, PyTorch",1,1,Finance
162296.0,Data Scientist,2,1,Norway,0,50,"TensorFlow, Azure, Computer Vision, Data Visualization",0,6,Finance
102382.0,AI Consultant,1,1,Switzerland,1,0,"TensorFlow, Scala, Docker, Statistics",3,3,Education
99972.0,AI Software Engineer,1,1,Australia,1,50,"Java, R, Deep Learning, NLP, Azure",3,4,Technology
64129.0,Data Engineer,0,2,South Korea,2,0,"Java, Git, Deep Learning",0,0,Manufacturing
87938.0,AI Specialist,2,0,Ireland,0,100,"Mathematics, Spark, Python, AWS",3,8,Education
71405.0,Autonomous Systems Engineer,1,3,Israel,2,0,"SQL, Java, MLOps, Linux, PyTorch",1,4,Retail
316182.0,Machine Learning Engineer,3,1,Denmark,1,0,"Python, Scala, Statistics, Git",1,12,Finance
84777.03,Machine Learning Researcher,0,1,Germany,1,100,"Hadoop, Python, Kubernetes, Azure",0,0,Gaming
91655.45999999999,Principal Data Scientist,1,0,France,2,100,"MLOps, Kubernetes, Git, Python",1,3,Technology
51907.0,NLP Engineer,1,3,Israel,1,100,"AWS, Kubernetes, Azure",0,4,Healthcare
143712.27,Autonomous Systems Engineer,2,3,France,0,100,"PyTorch, Kubernetes, Git, SQL",2,7,Real Estate
124820.0,Machine Learning Researcher,1,3,Norway,0,50,"NLP, Azure, Statistics, Spark, Mathematics",1,3,Real Estate
182512.0,Autonomous Systems Engineer,2,1,United Kingdom,0,50,"Linux, R, Tableau",3,9,Retail
51920.0,Data Engineer,0,1,Sweden,0,100,"Scala, R, Tableau, Data Visualization",3,0,Consulting
56427.0,Data Engineer,0,3,Singapore,1,100,"Mathematics, Kubernetes, Spark",2,0,Energy
213783.0,AI Product Manager,3,0,Canada,0,100,"Kubernetes, Spark, Statistics, Scala",0,16,Energy
59728.0,ML Ops Engineer,1,3,Israel,1,50,"MLOps, SQL, Statistics",1,2,Finance
119432.0,Computer Vision Engineer,2,2,India,2,0,"Scala, MLOps, NLP",3,6,Technology
284486.0,AI Research Scientist,3,2,United States,1,0,"PyTorch, Linux, SQL",2,12,Consulting
