회사명,연봉,경력,공고제목,등록일,마감일,인원수
주식회사아인사이트,"연봉3,000만원~3,200만원",신입/경력,AI치과진단프로그램스타트업,등록일:2025-07-10,마감일:2025-08-09,5.0
주식회사그라운드원,"연봉4,500만원이상",경력5년,HVAC시스템엔지니어,등록일:2025-07-09,마감일:2025-09-07,27.0
주식회사디에어,"연봉3,600만원~4,800만원",경력무관,무인기운용소프트웨어개발자채용,등록일:2025-07-09,마감일:2025-09-08,10.0
(주)라임스튜디오,"연봉5,000만원~7,000만원",경력7년,소프트웨어개발자채용,등록일:2025-07-09,마감일:2025-07-22,4.0
예스티엠주식회사,"연봉3,800만원~4,000만원",경력5년,UI/UX디자이너(경력5년이상),등록일:2025-07-08,마감일:2025-09-06,6.0
주식회사아이오테드,"연봉3,000만원~3,400만원",경력2년,(주)아이오테드직원채용-생성형인공지능기반챗봇서비스백...,등록일:2025-07-08,마감일:2025-09-07,10.0
(주)아이단바이오,"연봉2,600만원~3,000만원",경력무관,인공지능응용서비스개발자채용,등록일:2025-07-07,마감일:2025-09-03,3.0
주식회사엣지케어(EdgecareInc.),"연봉4,000만원~5,500만원",경력3년,(주)엣지케어/기구엔지니어채용(경력:3-7년),등록일:2025-07-07,마감일:2025-09-06,
케이팝맵주식회사,"연봉2,800만원이상",경력무관,[Kpopmap]AI엔지니어정규직모집안내,등록일:2025-07-07,마감일:2025-09-03,15.0
주식회사원인터내셔널,"연봉2,640만원~4,800만원",경력1년,"""MU:N""개발팀2명모집",등록일:2025-07-07,마감일:2025-09-06,9.0
경복대학교,"연봉2,600만원~3,400만원",경력무관,경복대학교정보기획처기획업무담당(정규직/계약직)행정직원채용공고,등록일:2025-07-07,마감일:2025-07-13,300.0
주식회사마이메타,"연봉3,600만원이상",경력2년,[마이메타]생성형AI·LLM기반소프트웨어개발자채용,등록일:2025-07-07,마감일:2025-09-04,8.0
주식회사알이디건축사사무소,상여별도10%,경력3년,2025년(주)알이디건축사사무소팀장(경력사원)모집공고,등록일:2025-07-04,마감일:2025-09-03,15.0
에이치엔아이엑스주식회사,"연봉2,600만원~4,800만원",경력5년,[HNIX]LLM연동및개발(판교근무),등록일:2025-07-04,마감일:2025-09-03,239.0
주식회사우진이엔에스,"연봉2,796만원이상",경력1년,산업IOT및AI연동소프트웨어플랫폼개발자/프로그래머신입...,등록일:2025-07-03,마감일:2025-07-21,14.0
주식회사지메이드,"연봉2,800만원~4,000만원",경력무관,"[AI/BigData전문기업-(주)지메이드]AI,소프트웨어개발자...",등록일:2025-07-02,마감일:2025-07-30,5.0
네오피스(주),"연봉2,600만원~3,500만원",경력3년,연구개발직선임연구원모집,등록일:2025-07-02,마감일:2025-08-31,35.0
(재)한국기계전기전자시험연구원,"연봉4,500만원~5,000만원",신입,AI·SW융합센터용역과제계약직채용,등록일:2025-07-02,마감일:2025-07-31,602.0
주식회사하이데이타,"연봉3,240만원~3,240만원",경력3년,"소프트웨어개발자(프로그래머)모집(창원,구미,대전)",등록일:2025-07-01,마감일:2025-07-22,50.0
에코마케팅,"연봉4,000만원이상",신입/경력1년,"백엔드개발자(Python,Java)신입/경력사원채용",등록일:2025-07-01,마감일:2025-07-13,361.0
주)에스엔피시스템,"연봉4,000만원이상",경력2년,Windows응용프로그램개발및AI기술응용및관리자모집,등록일:2025-06-30,마감일:2025-08-27,
주식회사그로인,"연봉2,800만원이상",경력3년,[AI전문강사모집공고],등록일:2025-06-30,마감일:2025-07-15,4.0
주식회사에이치와이제이,"연봉3,500만원~3,500만원",경력3년,[큐브프레임/온라인운영팀]웹디자이너대리급팀원(경력)모...,등록일:2025-06-27,마감일:2025-07-18,12.0
마케톤주식회사,"연봉4,000만원~5,000만원",경력3년,[강서구]AI(인공지능)개발자모집,등록일:2025-06-26,마감일:2025-08-25,6.0
청베니프,"연봉2,650만원이상",경력무관,온라인쇼핑몰운영및sns관리직원모집,등록일:2025-06-26,마감일:2025-07-10,10.0
(주)그노티,"연봉3,800만원~6,000만원",경력4년,(주)그노티JAVA개발자(경력직)채용공고,등록일:2025-06-25,마감일:2025-08-23,12.0
주식회사단비아이엔씨(danbeeInc.),"연봉3,000만원이상",경력1년,[채용-상시]인공지능챗봇플랫폼단비Ai에서백엔드및AI개발...,등록일:2025-06-24,마감일:2025-08-23,
(주)두인디지텍,"연봉3,000만원~4,000만원",경력1년,(주)두인디지텍'온라인쇼핑몰MD'모집,등록일:2025-06-23,마감일:2025-08-22,20.0
(주)씨앤티,"연봉3,500만원이상",경력5년,UXUI디자인및웹퍼블리싱경력사원모집,등록일:2025-06-23,마감일:2025-08-22,7.0
주식회사써지컬에이아이,"연봉3,200만원이상",경력2년,"의료영상기반영상처리,AI프로그래머",등록일:2025-06-20,마감일:2025-07-13,1.0
쿠기,"연봉2,800만원이상",경력무관,"[coogy,벤처]산업용장비개발및시험보조(신입가능)",등록일:2025-06-19,마감일:2025-08-18,8.0
(주)이튜,"연봉3,500만원~6,000만원",경력3년,★25.6.20~6.22코아디멕스잡페어현장면접★인공지능...,등록일:2025-06-19,마감일:2025-08-16,65.0
주식회사뷰티에이아이,"연봉3,000만원이상",경력1년,"APP(앱)분석및개발-하이브리드웹/앱,자바등-경력...",등록일:2025-06-17,마감일:2025-08-10,5.0
(주)가람이엔씨,"연봉4,500만원이상",경력4년,정부지원사업R&D연구소장,등록일:2025-06-17,마감일:2025-08-16,21.0
주식회사유유랑컴퍼니,"연봉3,200만원~3,200만원",신입,C#프로그래머(신입)해외출장가능자,등록일:2025-06-16,마감일:2025-08-15,6.0
유앤티주식회사,"연봉3,000만원~4,000만원",경력무관,IT기술직신입/경력모집,등록일:2025-06-16,마감일:2025-08-14,4.0
주식회사스마일모아,"연봉3,000만원~3,400만원",경력1년,웹&앱풀스택개발자1년~5년경력직채용,등록일:2025-06-13,마감일:2025-07-31,8.0
주식회사액시언,"연봉4,000만원~4,000만원",경력2년,사내IT/Infra및네트워크담당,등록일:2025-06-12,마감일:2025-08-11,16.0
