salary_usd,job_title,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,education_required,years_experience,industry
22561.8,AI치과진단프로그램스타트업,0,2,1,0,0,,0,0,Unknown
32751.0,HVAC시스템엔지니어,2,2,1,0,0,,0,5,Unknown
30567.6,무인기운용소프트웨어개발자채용,0,2,1,0,0,,0,0,Unknown
43668.0,소프트웨어개발자채용,2,2,1,0,0,,0,7,Unknown
28384.2,UI/UX디자이너(경력5년이상),2,2,1,0,0,,0,5,Unknown
23289.6,(주)아이오테드직원채용-생성형인공지능기반챗봇서비스백...,1,2,1,0,0,,0,2,Unknown
20378.4,인공지능응용서비스개발자채용,0,2,1,0,0,,0,0,Unknown
34570.5,(주)엣지케어/기구엔지니어채용(경력:3-7년),1,2,1,0,0,,0,3,Unknown
20378.4,[Kpopmap]AI엔지니어정규직모집안내,0,2,1,0,0,,0,0,Unknown
27074.16,"""MU:N""개발팀2명모집",1,2,1,0,0,,0,1,Unknown
21834.0,경복대학교정보기획처기획업무담당(정규직/계약직)행정직원채용공고,0,2,1,2,0,,0,0,Unknown
26200.8,[마이메타]생성형AI·LLM기반소프트웨어개발자채용,1,2,1,0,0,,0,2,Unknown
26928.6,2025년(주)알이디건축사사무소팀장(경력사원)모집공고,1,2,1,0,0,,0,3,Unknown
26928.6,[HNIX]LLM연동및개발(판교근무),2,2,1,1,0,,0,5,Unknown
20349.29,산업IOT및AI연동소프트웨어플랫폼개발자/프로그래머신입...,1,2,1,0,0,,0,1,Unknown
24745.2,"[AI/BigData전문기업-(주)지메이드]AI,소프트웨어개발자...",0,2,1,0,0,,0,0,Unknown
22197.9,연구개발직선임연구원모집,1,2,1,0,0,,0,3,Unknown
34570.5,AI·SW융합센터용역과제계약직채용,0,2,1,2,0,,0,0,Unknown
23580.72,"소프트웨어개발자(프로그래머)모집(창원,구미,대전)",1,2,1,0,0,,0,3,Unknown
29112.0,"백엔드개발자(Python,Java)신입/경력사원채용",0,2,1,2,0,,0,0,Unknown
29112.0,Windows응용프로그램개발및AI기술응용및관리자모집,1,2,1,0,0,,0,2,Unknown
20378.4,[AI전문강사모집공고],1,2,1,0,0,,0,3,Unknown
25473.0,[큐브프레임/온라인운영팀]웹디자이너대리급팀원(경력)모...,1,2,1,0,0,,0,3,Unknown
32751.0,[강서구]AI(인공지능)개발자모집,1,2,1,0,0,,0,3,Unknown
19286.7,온라인쇼핑몰운영및sns관리직원모집,0,2,1,0,0,,0,0,Unknown
35662.2,(주)그노티JAVA개발자(경력직)채용공고,2,2,1,0,0,,0,4,Unknown
21834.0,[채용-상시]인공지능챗봇플랫폼단비Ai에서백엔드및AI개발...,1,2,1,0,0,,0,1,Unknown
25473.0,(주)두인디지텍'온라인쇼핑몰MD'모집,1,2,1,0,0,,0,1,Unknown
25473.0,UXUI디자인및웹퍼블리싱경력사원모집,2,2,1,0,0,,0,5,Unknown
23289.6,"의료영상기반영상처리,AI프로그래머",1,2,1,0,0,,0,2,Unknown
20378.4,"[coogy,벤처]산업용장비개발및시험보조(신입가능)",0,2,1,0,0,,0,0,Unknown
34570.5,★25.6.20~6.22코아디멕스잡페어현장면접★인공지능...,1,2,1,1,0,,0,3,Unknown
21834.0,"APP(앱)분석및개발-하이브리드웹/앱,자바등-경력...",1,2,1,0,0,,0,1,Unknown
32751.0,정부지원사업R&D연구소장,2,2,1,0,0,,0,4,Unknown
23289.6,C#프로그래머(신입)해외출장가능자,0,2,1,0,0,,0,0,Unknown
25473.0,IT기술직신입/경력모집,0,2,1,0,0,,0,0,Unknown
23289.6,웹&앱풀스택개발자1년~5년경력직채용,1,2,1,0,0,,0,1,Unknown
29112.0,사내IT/Infra및네트워크담당,1,2,1,0,0,,0,2,Unknown
21834.0,포인드(주)인공지능·딥러닝개발자채용(신입),0,2,1,0,0,,0,0,Unknown
21834.0,포인드(주)인공지능·딥러닝개발자채용(신입),0,2,1,0,0,,0,0,Unknown
23799.06,포인드(주)인공지능·딥러닝개발자채용(경력),1,2,1,0,0,,0,2,Unknown
23799.06,포인드(주)인공지능·딥러닝개발자채용(경력),1,2,1,0,0,,0,2,Unknown
29112.0,웹.앱백엔드개발자경력모집합니다.,1,2,1,0,0,,0,1,Unknown
30422.04,AI기반빌딩자동제어및수처리제어시스템및인버터및모터시험...,0,2,1,0,0,,0,0,Unknown
23580.72,[경남창원인근군부대]AI데이터구축작업자채용,1,2,1,1,0,,0,1,Unknown
25473.0,위험물점검팀구인,0,2,1,0,0,,0,0,Unknown
36390.0,AI교육플랫폼-시니어서비스기획자(재택근무가능),2,2,1,0,0,,0,5,Unknown
36390.0,AI교육플랫폼-시니어서비스기획자(재택근무가능),2,2,1,0,0,,0,5,Unknown
36390.0,AI교육플랫폼-웹프론트엔드개발자(재택근무가능),2,2,1,0,0,,0,5,Unknown
36390.0,AI교육플랫폼-웹프론트엔드개발자(재택근무가능),2,2,1,0,0,,0,5,Unknown
21106.2,"S/W개발자(웹엔지니어·웹프로그래머,Java,JavaScr...",0,2,1,0,0,,0,0,Unknown
36390.0,제어계측분야회로및펌웨어개발,1,2,1,0,0,,0,3,Unknown
29112.0,[경남]삼성중공업내품질검사원경력직모집(MT),1,2,1,1,0,,0,1,Unknown
21834.0,Ai개발자모집,1,2,1,0,0,,0,1,Unknown
21834.0,AI기술지원신입및경력정규인원모집,0,2,1,0,0,,0,0,Unknown
27656.4,열의있는프로그램개발자모집,1,2,1,0,0,,0,3,Unknown
27656.4,항제개발Scientist모집,0,2,1,0,0,,0,0,Unknown
38217.5,머신비젼S/W개발자모집,1,2,1,0,0,,0,3,Unknown
38209.5,AI응용엔지니어/백엔드개발자채용,0,2,1,0,0,,0,0,Unknown
29112.0,"전기계측제어관련(PLC,S/W,ICT)인력채용",1,2,1,0,0,,0,2,Unknown
