0,1,2,3,4,5
주식회사에스알이엔지,"연봉2,800만원~3,000만원",경력무관,"회계,경리사무원모집합니다.",등록일:2025-07-10,마감일:2025-09-09
거상정공주식회사,"연봉3,400만원이상",경력무관,영업관리직경력사원모집,등록일:2025-07-10,마감일:2025-07-24
대전튼튼의원,"연봉3,400만원~4,000만원",경력무관,대전동구방사선사구인합니다.(원무행정처음부터가르쳐드립니다...,등록일:2025-07-10,마감일:2025-07-23
(주)에이스그린텍,"연봉2,600만원이상",경력무관,성실한영업지원사무직사원을모집합니다,등록일:2025-07-10,마감일:2025-07-31
주식회사씨유테크,"연봉2,700만원~3,000만원",신입,"전기설계,감리사무보조모집합니다",등록일:2025-07-10,마감일:2025-08-31
슈마케미아주식회사,"연봉2,940만원~2,940만원",경력무관,영업파트사무원모집,등록일:2025-07-10,마감일:2025-07-31
주식회사아울,"연봉3,600만원~4,500만원",경력3년,면세브랜드운영담당자모집,등록일:2025-07-10,마감일:2025-07-24
（주）씨월드,"연봉2,800만원~3,200만원",경력2년,(주)씨월드_티각태각_경영지원팀대리급경력직채용,등록일:2025-07-10,마감일:2025-09-09
주식회사코멕스플래닝,"연봉3,000만원~3,600만원",경력1년,경리.회계담당직원모집,등록일:2025-07-10,마감일:2025-09-08
(사)경북경영자총협회,상여별도50%,경력무관,경북지역인적자원개발위원회일자리전략부연구원채용,등록일:2025-07-10,마감일:2025-07-22
주식회사에스알이엔지,"연봉2,800만원~3,000만원",경력무관,"회계,경리사무원모집합니다.",등록일:2025-07-10,마감일:2025-09-09
거상정공주식회사,"연봉3,400만원이상",경력무관,영업관리직경력사원모집,등록일:2025-07-10,마감일:2025-07-24
대전튼튼의원,"연봉3,400만원~4,000만원",경력무관,대전동구방사선사구인합니다.(원무행정처음부터가르쳐드립니다...,등록일:2025-07-10,마감일:2025-07-23
(주)에이스그린텍,"연봉2,600만원이상",경력무관,성실한영업지원사무직사원을모집합니다,등록일:2025-07-10,마감일:2025-07-31
주식회사씨유테크,"연봉2,700만원~3,000만원",신입,"전기설계,감리사무보조모집합니다",등록일:2025-07-10,마감일:2025-08-31
슈마케미아주식회사,"연봉2,940만원~2,940만원",경력무관,영업파트사무원모집,등록일:2025-07-10,마감일:2025-07-31
주식회사아울,"연봉3,600만원~4,500만원",경력3년,면세브랜드운영담당자모집,등록일:2025-07-10,마감일:2025-07-24
（주）씨월드,"연봉2,800만원~3,200만원",경력2년,(주)씨월드_티각태각_경영지원팀대리급경력직채용,등록일:2025-07-10,마감일:2025-09-09
주식회사코멕스플래닝,"연봉3,000만원~3,600만원",경력1년,경리.회계담당직원모집,등록일:2025-07-10,마감일:2025-09-08
(사)경북경영자총협회,상여별도50%,경력무관,경북지역인적자원개발위원회일자리전략부연구원채용,등록일:2025-07-10,마감일:2025-07-22
하늘감마을주식회사농업회사법인,"연봉2,510만원이상",신입,"일반사무직(신입,경력)",등록일:2025-07-10,마감일:2025-09-09
(주)에코,"연봉3,000만원~3,500만원",경력3년,경리및영업지원,등록일:2025-07-10,마감일:2025-07-24
(주)큐비인텔리전스,"연봉3,000만원~3,500만원",경력무관,항만및물류관련연구를함께할연구직모집합니다.,등록일:2025-07-10,마감일:2025-09-09
