,회사명,인원수
0,(주)아인사이트,5.0
1,(주)그라운드원,27.0
2,(주)디에어,10.0
3,(주)라임스튜디오,4.0
4,예스티엠(주),6.0
5,(주)아이오테드,10.0
6,(주)아이단바이오,3.0
7,주식회사 엣지케어,38.0
8,케이팝맵(주),15.0
9,(주)원인터내셔널,9.0
10,경복대학교,300.0
11,(주)마이메타,8.0
12,주식회사 알이디 건축사사무소,15.0
13,에이치엔아이엑스(주),239.0
14,(주)우진이엔에스,14.0
15,(주)지메이드,5.0
16,네오피스(주),35.0
17,(재)한국기계전기전자시험연구원,602.0
18,(주)하이데이타,50.0
19,(주)에코마케팅,361.0
20,(주)에스엔피시스템,24.0
21,(주)그로인,4.0
22,(주)에이치와이제이,12.0
23,마케톤(주),6.0
24,청베니프,10.0
25,(주)그노티,12.0
26,주식회사 단비아이엔씨,9.0
27,(주)두인디지텍,20.0
28,(주)씨앤티,7.0
29,(주)써지컬에이아이,1.0
30,쿠기,8.0
31,(주)이튜,65.0
32,(주)뷰티에이아이,5.0
33,(주)가람이엔씨,21.0
34,(주)유유랑컴퍼니,6.0
35,유앤티(주),4.0
36,주식회사 스마일모아,8.0
37,(주)액시언,16.0
38,포인드주식회사,21.0
39,포인드주식회사,21.0
40,울산US소프트,6.0
41,한국디지탈콘트롤(주),20.0
42,(주)에이아이웍스,179.0
43,(주)두일이앤씨,5.0
44,(주)캐치잇플레이,7.0
45,(주)캐치잇플레이,7.0
46,(주)시대의영웅,5.0
47,(주)오토시스,10.0
48,(주)에이아이서비스,86.0
49,주식회사 화이트폭스,14.0
50,(주)소프트웨어융합연구소,5.0
51,(주)에이아이엑스코리아,2.0
52,(주)에임드바이오,41.0
53,(주)트리비젼,9.0
54,주식회사 와이매틱스 도곡지점,6.0
55,(주)이음아이씨티,8.0
