회사명,연봉,경력,공고제목,등록일,마감일
주식회사마더웍스,월급250만원이상,경력무관,[마더웍스]온라인물류/CS담당자채용,등록일:2025-07-10,마감일:2025-09-09
한라대학교,월급230만원~230만원,경력무관,한라대학교학생생활상담센터상담사계약직원채용공고,등록일:2025-07-10,마감일:2025-07-20
연세대학교원주산학협력단,월급250만원~350만원,경력무관,연세대학교원주산학협력단행정본부채용공고,등록일:2025-07-10,마감일:2025-07-16
대전튼튼의원,"연봉3,400만원~4,000만원",경력무관,대전동구방사선사구인합니다.(원무행정처음부터가르쳐드립니다...,등록일:2025-07-10,마감일:2025-07-23
(주)에이스그린텍,"연봉2,600만원이상",경력무관,성실한영업지원사무직사원을모집합니다,등록일:2025-07-10,마감일:2025-07-31
상지대학교,월급210만원~210만원,경력무관,계약직원채용공고_국제교육원,등록일:2025-07-10,마감일:2025-07-17
주식회사태산씨앤에스,월급230만원~320만원,경력2년,통신공사공무모집,등록일:2025-07-10,마감일:2025-09-09
주식회사씨유테크,"연봉2,700만원~3,000만원",신입,"전기설계,감리사무보조모집합니다",등록일:2025-07-10,마감일:2025-08-31
슈마케미아주식회사,"연봉2,940만원~2,940만원",경력무관,영업파트사무원모집,등록일:2025-07-10,마감일:2025-07-31
덕원산업（주）,월급280만원~320만원,경력무관,관리직사원모집,등록일:2025-07-10,마감일:2025-09-07
주식회사마더웍스,월급250만원이상,경력무관,[마더웍스]온라인물류/CS담당자채용,등록일:2025-07-10,마감일:2025-09-09
한라대학교,월급230만원~230만원,경력무관,한라대학교학생생활상담센터상담사계약직원채용공고,등록일:2025-07-10,마감일:2025-07-20
연세대학교원주산학협력단,월급250만원~350만원,경력무관,연세대학교원주산학협력단행정본부채용공고,등록일:2025-07-10,마감일:2025-07-16
대전튼튼의원,"연봉3,400만원~4,000만원",경력무관,대전동구방사선사구인합니다.(원무행정처음부터가르쳐드립니다...,등록일:2025-07-10,마감일:2025-07-23
(주)에이스그린텍,"연봉2,600만원이상",경력무관,성실한영업지원사무직사원을모집합니다,등록일:2025-07-10,마감일:2025-07-31
상지대학교,월급210만원~210만원,경력무관,계약직원채용공고_국제교육원,등록일:2025-07-10,마감일:2025-07-17
주식회사태산씨앤에스,월급230만원~320만원,경력2년,통신공사공무모집,등록일:2025-07-10,마감일:2025-09-09
주식회사씨유테크,"연봉2,700만원~3,000만원",신입,"전기설계,감리사무보조모집합니다",등록일:2025-07-10,마감일:2025-08-31
슈마케미아주식회사,"연봉2,940만원~2,940만원",경력무관,영업파트사무원모집,등록일:2025-07-10,마감일:2025-07-31
덕원산업（주）,월급280만원~320만원,경력무관,관리직사원모집,등록일:2025-07-10,마감일:2025-09-07
주식회사마더웍스,월급250만원이상,경력무관,[마더웍스]온라인물류/CS담당자채용,등록일:2025-07-10,마감일:2025-09-09
한라대학교,월급230만원~230만원,경력무관,한라대학교학생생활상담센터상담사계약직원채용공고,등록일:2025-07-10,마감일:2025-07-20
연세대학교원주산학협력단,월급250만원~350만원,경력무관,연세대학교원주산학협력단행정본부채용공고,등록일:2025-07-10,마감일:2025-07-16
대전튼튼의원,"연봉3,400만원~4,000만원",경력무관,대전동구방사선사구인합니다.(원무행정처음부터가르쳐드립니다...,등록일:2025-07-10,마감일:2025-07-23
(주)에이스그린텍,"연봉2,600만원이상",경력무관,성실한영업지원사무직사원을모집합니다,등록일:2025-07-10,마감일:2025-07-31
상지대학교,월급210만원~210만원,경력무관,계약직원채용공고_국제교육원,등록일:2025-07-10,마감일:2025-07-17
주식회사태산씨앤에스,월급230만원~320만원,경력2년,통신공사공무모집,등록일:2025-07-10,마감일:2025-09-09
주식회사씨유테크,"연봉2,700만원~3,000만원",신입,"전기설계,감리사무보조모집합니다",등록일:2025-07-10,마감일:2025-08-31
슈마케미아주식회사,"연봉2,940만원~2,940만원",경력무관,영업파트사무원모집,등록일:2025-07-10,마감일:2025-07-31
덕원산업（주）,월급280만원~320만원,경력무관,관리직사원모집,등록일:2025-07-10,마감일:2025-09-07
주식회사이투지,월급210만원~230만원,경력무관,경영관리사무보조직원모집,등록일:2025-07-10,마감일:2025-09-09
주식회사원더윅스컴퍼니,월급210만원~210만원,신입,[80억투자]No.1키즈여행·액티비티서비스맘맘,등록일:2025-07-10,마감일:2025-09-09
보은군실버복지관,월급215만원~215만원,경력무관,보은군실버복지관일반사무직모집공고,등록일:2025-07-10,마감일:2025-07-14
주식회사아울,상여별도120%,경력3년,면세브랜드운영담당자모집,등록일:2025-07-10,마감일:2025-07-24
（주）씨월드,"연봉3,600만원~4,500만원",경력2년,(주)씨월드_티각태각_경영지원팀대리급경력직채용,등록일:2025-07-10,마감일:2025-09-09
주식회사코멕스플래닝,"연봉2,800만원~3,200만원",경력1년,경리.회계담당직원모집,등록일:2025-07-10,마감일:2025-09-08
(사)경북경영자총협회,"연봉3,000만원~3,600만원",경력무관,경북지역인적자원개발위원회일자리전략부연구원채용,등록일:2025-07-10,마감일:2025-07-22
하늘감마을주식회사농업회사법인,상여별도50%,신입,"일반사무직(신입,경력)",등록일:2025-07-10,마감일:2025-09-09
