광역시도,시군구,선거인수,투표수,이재명,김문수,이준석,electionSum,electionRatio
서울특별시,종로구,125901,99261,47735,39574,9326,96635,97.35
서울특별시,중구,110181,87166,40482,36302,8450,85234,97.78
서울특별시,용산구,183614,143813,58705,67927,13794,140426,97.64
서울특별시,성동구,244536,196282,88028,84043,20217,192288,97.97
서울특별시,광진구,301007,239807,114304,94752,25469,234525,97.8
서울특별시,동대문구,307846,246264,117631,97549,25928,241108,97.91
서울특별시,중랑구,342360,267642,137420,102137,22923,262480,98.07
서울특별시,성북구,374002,300299,152624,111271,29394,293289,97.67
서울특별시,강북구,257971,198136,105780,72792,15575,194147,97.99
서울특별시,도봉구,272942,216499,110614,84148,17568,212330,98.07
서울특별시,노원구,430719,350440,176604,131061,35615,343280,97.96
서울특별시,은평구,411789,326136,171417,118639,28163,318219,97.57
서울특별시,서대문구,269110,216261,107451,81882,21264,210597,97.38
서울특별시,마포구,321302,260533,125049,101016,26948,253013,97.11
서울특별시,양천구,368029,299637,143686,122867,27234,293787,98.05
서울특별시,강서구,493010,392879,196256,149837,38416,384509,97.87
서울특별시,구로구,344220,278196,139034,108039,25433,272506,97.95
서울특별시,금천구,206121,161132,83102,58686,15979,157767,97.91
서울특별시,영등포구,335136,271596,123593,111861,29911,265365,97.71
서울특별시,동작구,337985,275295,128028,111735,29432,269195,97.78
서울특별시,관악구,446923,350839,171149,126951,43385,341485,97.33
서울특별시,서초구,345855,280913,94722,153536,27500,275758,98.16
서울특별시,강남구,472730,373762,119722,210177,37564,367463,98.31
서울특별시,송파구,561654,458526,191678,212094,46194,449966,98.13
서울특별시,강동구,428942,350292,160645,149529,33664,343838,98.16
부산광역시,중구,35284,26223,9784,14167,1861,25812,98.43
부산광역시,서구,92886,71591,26800,38496,5081,70377,98.3
부산광역시,동구,77893,59632,22744,31875,4061,58680,98.4
부산광역시,영도구,93909,70342,29962,35217,4133,69312,98.54
부산광역시,부산진구,325663,252934,101093,126802,20697,248592,98.28
부산광역시,동래구,235338,189601,74245,97629,14656,186530,98.38
부산광역시,남구,222856,176630,69214,91037,13662,173913,98.46
부산광역시,북구,234995,187682,77258,93564,13884,184706,98.41
부산광역시,해운대구,325211,255777,97486,135755,18806,252047,98.54
부산광역시,기장군,145228,112103,48742,53493,8181,110416,98.5
부산광역시,사하구,258595,199077,82504,99642,13814,195960,98.43
부산광역시,금정구,188148,149515,55470,79737,11899,147106,98.39
부산광역시,강서구,112618,89257,40580,40065,7254,87899,98.48
부산광역시,연제구,184908,148025,58466,75594,11530,145590,98.36
부산광역시,수영구,153669,119331,44558,63669,9057,117284,98.28
부산광역시,사상구,178351,138035,56307,69496,9897,135700,98.31
대구광역시,중구,85181,68687,16317,44323,6934,67574,98.38
대구광역시,동구,300119,240878,57694,160000,19509,237203,98.47
대구광역시,서구,147381,114567,21840,83588,7554,112982,98.62
대구광역시,남구,125079,96240,20940,66687,7096,94723,98.42
대구광역시,북구,358624,287673,68670,189776,24603,283049,98.39
대구광역시,수성구,346438,284576,65324,189622,25604,280550,98.59
대구광역시,달서구,452664,364667,83001,246446,29887,359334,98.54
대구광역시,달성군,212190,168018,42728,109225,13515,165468,98.48
대구광역시,군위군,21402,17745,2616,14246,674,17536,98.82
인천광역시,중구,146414,110897,57340,40941,10655,108936,98.23
인천광역시,동구,51663,40799,20014,17018,2891,39923,97.85
인천광역시,미추홀구,366830,273289,136342,108442,23356,268140,98.12
인천광역시,연수구,332596,268737,128989,108641,26485,264115,98.28
인천광역시,남동구,421631,326991,168404,125604,26957,320965,98.16
인천광역시,부평구,435944,339541,178154,125578,29201,332933,98.05
인천광역시,계양구,248733,194728,106747,69027,15369,191143,98.16
인천광역시,서구,533584,417136,223841,147562,38226,409629,98.2
인천광역시,강화군,63399,48634,19095,26323,2497,47915,98.52
인천광역시,옹진군,18554,14603,5369,7816,1102,14287,97.84
광주광역시,동구,92286,77545,63684,7402,5212,76298,98.39
광주광역시,서구,240133,200340,168407,16782,12238,197427,98.55
광주광역시,남구,176412,149219,126148,12337,8635,147120,98.59
광주광역시,북구,362472,304117,257145,23544,18674,299363,98.44
광주광역시,광산구,323168,270928,229298,19872,17345,266515,98.37
대전광역시,동구,194244,148238,70915,62048,12499,145462,98.13
