기준_날짜,대여소ID,대여건수,반납건수,반납-대여
2023-01-01,ST-1015,2,0,-2
2023-01-01,ST-102,4,4,0
2023-01-01,ST-103,20,9,-11
2023-01-01,ST-105,51,38,-13
2023-01-01,ST-106,108,108,0
2023-01-01,ST-107,10,12,2
2023-01-01,ST-108,6,18,12
2023-01-01,ST-109,23,26,3
2023-01-01,ST-1095,2,0,-2
2023-01-01,ST-111,10,14,4
2023-01-01,ST-112,30,35,5
2023-01-01,ST-114,12,12,0
2023-01-01,ST-1171,2,0,-2
2023-01-01,ST-1190,2,0,-2
2023-01-01,ST-1191,24,23,-1
2023-01-01,ST-1193,2,4,2
2023-01-01,ST-1194,8,6,-2
2023-01-01,ST-1195,87,125,38
2023-01-01,ST-1197,46,30,-16
2023-01-01,ST-1198,40,52,12
2023-01-01,ST-1199,8,18,10
2023-01-01,ST-1200,4,0,-4
2023-01-01,ST-1201,6,8,2
2023-01-01,ST-1202,2,0,-2
2023-01-01,ST-1212,2,0,-2
2023-01-01,ST-1213,2,0,-2
2023-01-01,ST-1215,4,2,-2
2023-01-01,ST-1263,20,18,-2
2023-01-01,ST-1266,6,6,0
2023-01-01,ST-1281,2,0,-2
2023-01-01,ST-1298,4,14,10
2023-01-01,ST-1300,10,10,0
2023-01-01,ST-1306,2,0,-2
2023-01-01,ST-1317,2,0,-2
2023-01-01,ST-1334,4,0,-4
2023-01-01,ST-1339,2,2,0
2023-01-01,ST-1344,4,4,0
2023-01-01,ST-1347,2,0,-2
2023-01-01,ST-1372,3,0,-3
2023-01-01,ST-1378,2,4,2
2023-01-01,ST-1381,2,0,-2
2023-01-01,ST-1384,2,0,-2
2023-01-01,ST-1420,2,0,-2
2023-01-01,ST-1427,4,2,-2
2023-01-01,ST-1428,2,0,-2
2023-01-01,ST-1435,2,0,-2
2023-01-01,ST-1439,2,2,0
2023-01-01,ST-144,4,0,-4
2023-01-01,ST-1440,4,7,3
2023-01-01,ST-1441,2,4,2
2023-01-01,ST-1449,4,0,-4
2023-01-01,ST-145,6,2,-4
2023-01-01,ST-1452,2,0,-2
2023-01-01,ST-1454,2,0,-2
2023-01-01,ST-1455,4,2,-2
2023-01-01,ST-150,2,0,-2
2023-01-01,ST-153,2,0,-2
2023-01-01,ST-155,2,0,-2
2023-01-01,ST-156,2,0,-2
2023-01-01,ST-1571,2,0,-2
2023-01-01,ST-1574,2,2,0
2023-01-01,ST-1575,2,0,-2
2023-01-01,ST-1599,16,14,-2
2023-01-01,ST-1601,2,0,-2
2023-01-01,ST-1603,2,0,-2
2023-01-01,ST-1606,2,4,2
2023-01-01,ST-1611,2,0,-2
2023-01-01,ST-1617,2,0,-2
2023-01-01,ST-1618,5,0,-5
2023-01-01,ST-1629,2,6,4
2023-01-01,ST-163,2,0,-2
2023-01-01,ST-1631,2,0,-2
2023-01-01,ST-1632,6,4,-2
2023-01-01,ST-1660,10,8,-2
2023-01-01,ST-1661,26,24,-2
2023-01-01,ST-1663,10,8,-2
2023-01-01,ST-1669,6,0,-6
2023-01-01,ST-1686,2,0,-2
2023-01-01,ST-1690,47,25,-22
2023-01-01,ST-1722,2,0,-2
2023-01-01,ST-1726,2,0,-2
2023-01-01,ST-1747,4,0,-4
2023-01-01,ST-175,4,6,2
2023-01-01,ST-176,6,8,2
2023-01-01,ST-177,2,0,-2
2023-01-01,ST-1772,2,0,-2
2023-01-01,ST-1779,2,0,-2
2023-01-01,ST-1780,6,4,-2
2023-01-01,ST-1781,2,4,2
2023-01-01,ST-1782,2,0,-2
2023-01-01,ST-1783,2,0,-2
2023-01-01,ST-1786,2,0,-2
2023-01-01,ST-1789,2,4,2
2023-01-01,ST-1807,3,0,-3
2023-01-01,ST-1809,4,0,-4
2023-01-01,ST-1812,2,4,2
2023-01-01,ST-1814,4,2,-2
2023-01-01,ST-1817,2,0,-2
2023-01-01,ST-1818,2,0,-2
2023-01-01,ST-1829,2,0,-2
2023-01-01,ST-1867,3,0,-3
2023-01-01,ST-187,2,0,-2
2023-01-01,ST-189,4,2,-2
2023-01-01,ST-1910,2,6,4
2023-01-01,ST-1923,2,3,1
2023-01-01,ST-198,8,8,0
2023-01-01,ST-20,2,0,-2
2023-01-01,ST-2076,2,2,0
2023-01-01,ST-2169,2,2,0
2023-01-01,ST-2191,2,0,-2
2023-01-01,ST-2199,2,0,-2
2023-01-01,ST-2267,2,0,-2
2023-01-01,ST-2268,9,8,-1
2023-01-01,ST-2269,4,4,0
2023-01-01,ST-2274,2,0,-2
2023-01-01,ST-2276,6,6,0
2023-01-01,ST-2278,2,4,2
2023-01-01,ST-2279,3,0,-3
2023-01-01,ST-2308,8,8,0
2023-01-01,ST-2310,38,42,4
2023-01-01,ST-2314,4,4,0
2023-01-01,ST-2317,8,4,-4
2023-01-01,ST-2318,21,18,-3
2023-01-01,ST-2320,6,2,-4
2023-01-01,ST-2321,18,14,-4
2023-01-01,ST-2325,4,6,2
2023-01-01,ST-2326,8,10,2
2023-01-01,ST-2327,10,12,2
2023-01-01,ST-2329,10,8,-2
2023-01-01,ST-2330,36,32,-4
2023-01-01,ST-2331,36,40,4
2023-01-01,ST-2332,31,24,-7
2023-01-01,ST-2333,2,0,-2
2023-01-01,ST-2334,12,18,6
2023-01-01,ST-2335,12,10,-2
2023-01-01,ST-2337,4,2,-2
2023-01-01,ST-2338,4,0,-4
2023-01-01,ST-2339,18,10,-8
2023-01-01,ST-234,31,23,-8
2023-01-01,ST-2340,16,8,-8
2023-01-01,ST-2341,24,30,6
2023-01-01,ST-2342,32,28,-4
2023-01-01,ST-2343,7,6,-1
2023-01-01,ST-235,28,28,0
2023-01-01,ST-236,18,16,-2
