거래일,아파트,전용면적,층,건축년도,거래금액,주소
2018-01-02,동신아파트,59.99,4.0,1999-01-01,30950,서울특별시 노원구
2018-01-02,효성아파트,73.18,1.0,1995-01-01,38700,서울특별시 노원구
2018-01-02,효성아파트,73.18,4.0,1995-01-01,37300,서울특별시 노원구
2018-01-03,대주파크빌아파트,81.12,2.0,2003-01-01,36500,서울특별시 노원구
2018-01-04,시영2단지(라이프)아파트,34.44,7.0,1994-01-01,19300,서울특별시 노원구
2018-01-04,삼익아파트,84.6,13.0,1995-01-01,42000,서울특별시 노원구
2018-01-04,비선아파트,48.93,4.0,1999-01-01,27000,서울특별시 노원구
2018-01-05,삼익4단지아파트,49.5,9.0,1994-01-01,28500,서울특별시 노원구
2018-01-05,공릉2신도브래뉴아파트,72.84,6.0,2002-01-01,37500,서울특별시 노원구
2018-01-05,효성화운트빌아파트,99.917,15.0,2000-01-01,52250,서울특별시 노원구
2018-01-05,태강아파트,49.6,7.0,1999-01-01,27300,서울특별시 노원구
2018-01-06,대동아파트2,72.25,8.0,1999-01-01,36200,서울특별시 노원구
2018-01-06,동아하이빌아파트,81.56,7.0,2002-01-01,26300,서울특별시 노원구
2018-01-06,효성화운트빌아파트,99.917,7.0,2000-01-01,53500,서울특별시 노원구
2018-01-06,태강아파트,49.6,4.0,1999-01-01,29500,서울특별시 노원구
2018-01-06,우방아파트,60.502,3.0,2000-01-01,35800,서울특별시 노원구
2018-01-08,시영2단지(라이프)아파트,34.44,5.0,1994-01-01,19000,서울특별시 노원구
2018-01-08,풍림아파트B,31.32,9.0,2001-01-01,20000,서울특별시 노원구
2018-01-08,대주파크빌아파트,80.992,3.0,2003-01-01,36500,서울특별시 노원구
2018-01-08,공릉동 한보에센시티아파트,59.4,12.0,2000-01-01,31000,서울특별시 노원구
2018-01-08,풍림아파트A,59.94,1.0,2001-01-01,36470,서울특별시 노원구
2018-01-09,비선아파트,48.93,4.0,1999-01-01,28650,서울특별시 노원구
2018-01-09,효성아파트,126.78,8.0,1999-01-01,47000,서울특별시 노원구
2018-01-09,현대아파트,86.0,1.0,1984-01-01,41000,서울특별시 노원구
2018-01-09,태강아파트,49.6,11.0,1999-01-01,27800,서울특별시 노원구
2018-01-09,우방아파트,61.151,7.0,2000-01-01,36000,서울특별시 노원구
2018-01-10,삼익아파트,114.88,6.0,1995-01-01,45000,서울특별시 노원구
2018-01-10,시영3차(라이프)아파트,39.6,9.0,1994-01-01,21900,서울특별시 노원구
2018-01-11,삼익아파트,59.89,8.0,1997-01-01,28300,서울특별시 노원구
2018-01-12,현대아파트,62.27,4.0,1984-01-01,31800,서울특별시 노원구
2018-01-12,한일휴니스빌,13.62,8.0,2013-01-01,13200,서울특별시 노원구
2018-01-12,하늘공원아파트(103동),84.79,5.0,2007-01-01,33000,서울특별시 노원구
2018-01-12,라메즈아파트,83.43,3.0,2004-01-01,28500,서울특별시 노원구
2018-01-13,동부아파트,84.79,2.0,1996-01-01,37850,서울특별시 노원구
2018-01-13,길성그랑프리텔아파트,80.9407,9.0,2003-01-01,38800,서울특별시 노원구
2018-01-13,풍림아파트B,31.32,10.0,2001-01-01,19900,서울특별시 노원구
2018-01-13,풍림아파트A,84.99,7.0,2001-01-01,48000,서울특별시 노원구
2018-01-13,풍림아파트A,84.99,2.0,2001-01-01,43800,서울특별시 노원구
2018-01-13,태릉우성아파트,84.97,1.0,1985-01-01,40500,서울특별시 노원구
2018-01-13,신도1차아파트,81.2768,11.0,2002-01-01,45500,서울특별시 노원구
2018-01-14,두산힐스빌아파트,84.9,7.0,2000-01-01,47300,서울특별시 노원구
2018-01-14,효성화운트빌아파트,99.917,13.0,2000-01-01,56000,서울특별시 노원구
2018-01-14,효성화운트빌아파트,99.917,14.0,2000-01-01,52000,서울특별시 노원구
2018-01-14,태강아파트,49.6,8.0,1999-01-01,27800,서울특별시 노원구
2018-01-15,시영3차(라이프)아파트,49.5,2.0,1994-01-01,27450,서울특별시 노원구
2018-01-15,참다움아파트,67.5682,5.0,2012-01-01,32000,서울특별시 노원구
2018-01-15,효성화운트빌아파트,99.917,10.0,2000-01-01,59000,서울특별시 노원구
2018-01-15,우방아파트,61.151,1.0,2000-01-01,31000,서울특별시 노원구
2018-01-16,동부아파트,84.79,12.0,1996-01-01,39200,서울특별시 노원구
2018-01-16,참다움아파트,67.5682,4.0,2012-01-01,27800,서울특별시 노원구
2018-01-16,새울센스빌아파트,73.26,4.0,2003-01-01,23500,서울특별시 노원구
2018-01-16,공릉우성아파트,59.01,14.0,1995-01-01,31000,서울특별시 노원구
2018-01-16,태강아파트,49.6,7.0,1999-01-01,26500,서울특별시 노원구
2018-01-16,두산힐스빌아파트,84.9,19.0,2000-01-01,47500,서울특별시 노원구
2018-01-16,두산힐스빌아파트,84.9,11.0,2000-01-01,47800,서울특별시 노원구
2018-01-17,대동아파트,84.97,9.0,1999-01-01,34400,서울특별시 노원구
2018-01-17,공릉우성아파트,109.4,3.0,1995-01-01,43000,서울특별시 노원구
2018-01-17,신도1차아파트,72.8129,17.0,2002-01-01,42700,서울특별시 노원구
2018-01-17,동신아파트,59.99,5.0,1999-01-01,31300,서울특별시 노원구
2018-01-18,삼익4단지아파트,39.6,5.0,1994-01-01,22800,서울특별시 노원구
2018-01-18,풍림아파트A,114.78,12.0,2001-01-01,55800,서울특별시 노원구
2018-01-18,태강아파트,49.6,12.0,1999-01-01,27500,서울특별시 노원구
2018-01-18,청솔아파트8,84.65,5.0,2000-01-01,40500,서울특별시 노원구
2018-01-18,우방아파트,61.151,5.0,2000-01-01,35500,서울특별시 노원구
2018-01-18,신원아파트,59.59,10.0,2000-01-01,29500,서울특별시 노원구
2018-01-18,시영3차(라이프)아파트,39.6,13.0,1994-01-01,21500,서울특별시 노원구
2018-01-18,시영3차(라이프)아파트,34.44,10.0,1994-01-01,18500,서울특별시 노원구
2018-01-19,비선아파트,48.93,4.0,1999-01-01,27700,서울특별시 노원구
2018-01-19,효성화운트빌아파트,99.917,6.0,2000-01-01,53000,서울특별시 노원구
2018-01-19,현대성우아파트,59.98,6.0,2000-01-01,30900,서울특별시 노원구
2018-01-19,풍림아파트A,59.94,3.0,2001-01-01,39750,서울특별시 노원구
2018-01-19,풍림아파트A,59.94,19.0,2001-01-01,39000,서울특별시 노원구
2018-01-19,태강아파트,59.38,8.0,1999-01-01,34000,서울특별시 노원구
2018-01-19,시영3차(라이프)아파트,34.44,13.0,1994-01-01,19300,서울특별시 노원구
2018-01-20,비선아파트,48.6,9.0,1999-01-01,27600,서울특별시 노원구
2018-01-20,신성미소지움아파트,84.99600000000002,4.0,2004-01-01,40000,서울특별시 노원구
2018-01-20,광덕파크빌아파트,84.69,15.0,2003-01-01,33000,서울특별시 노원구
2018-01-20,현대아파트,61.94,2.0,1984-01-01,34000,서울특별시 노원구
2018-01-20,공릉동 한보에센시티아파트,59.4,1.0,2000-01-01,24500,서울특별시 노원구
2018-01-20,태강아파트,49.6,10.0,1999-01-01,28800,서울특별시 노원구
2018-01-20,태릉우성아파트,84.97,9.0,1985-01-01,42500,서울특별시 노원구
2018-01-20,우방아파트,84.881,2.0,2000-01-01,40800,서울특별시 노원구
2018-01-20,신명아파트,84.55,6.0,1995-01-01,29800,서울특별시 노원구
2018-01-20,비선아파트,59.74,10.0,1999-01-01,36000,서울특별시 노원구
2018-01-21,풍림아파트A,84.99,6.0,2001-01-01,46500,서울특별시 노원구
2018-01-21,효성아파트,84.66,2.0,1995-01-01,45250,서울특별시 노원구
2018-01-22,삼익아파트,51.03,9.0,1995-01-01,25700,서울특별시 노원구
2018-01-22,서진프라자아파트,93.03,3.0,1997-01-01,28200,서울특별시 노원구
2018-01-22,풍림아파트B,31.32,18.0,2001-01-01,19600,서울특별시 노원구
2018-01-22,태강아파트,59.34,14.0,1999-01-01,35200,서울특별시 노원구
2018-01-23,동부아파트,84.79,4.0,1996-01-01,37000,서울특별시 노원구
2018-01-23,대주파크빌아파트,81.12,3.0,2003-01-01,37000,서울특별시 노원구
2018-01-23,비선아파트,49.28,8.0,1999-01-01,27000,서울특별시 노원구
2018-01-23,비선아파트,59.87,14.0,1999-01-01,34800,서울특별시 노원구
2018-01-24,대명아파트,62.04,2.0,1989-01-01,26500,서울특별시 노원구
