대여소_ID,주소1,주소2,위도,경도
ST-967,서울특별시 성동구 자동차시장길 49,중랑물재생센터,37.558304,127.05806
ST-506,서울특별시 성동구 아차산로 100,성수동2가 315-105,37.544159,127.056656
ST-482,서울특별시 성동구 성수동2가 276-5,KEB하나은행 성수중앙지점,37.545418,127.052643
ST-48,서울특별시 성동구 자동차시장 3길 64 (물재생센터),운영센터,37.557598,127.065308
ST-447,서울특별시 성동구 마장로42길 14,마장동 주민센터,37.565941,127.045395
ST-446,서울특별시 성동구 성수동2가 569-3,성수2가1동 공영주차장 인근,37.536808,127.055489
ST-376,서울특별시 성동구 마장로39길 51,청계천 생태교실 앞,37.56797,127.04689
ST-375,서울특별시 성동구 성수일로 27,경일중학교 앞,37.543179,127.04908
ST-374,서울특별시 성동구 용답25길 1,용답초등학교,37.561012,127.054237
ST-373,서울특별시 성동구 무수막길 97,신금호역 3번출구 뒤,37.554493,127.02021
ST-372,서울특별시 성동구 마장로 292-1,마장역 4번출구,37.565205,127.041847
ST-371,서울특별시 성동구 광나루로 297 성동세무서,,37.54829,127.062462
ST-370,서울특별시 성동구 독서당로 381,응봉동현대아파트 정류소,37.549583,127.030243
ST-368,서울특별시 성동구 아차산로 113,성수역 2번출구 앞,37.54459,127.057083
ST-367,서울특별시 성동구 뚝섬로1길 43,성수문화복지회관 앞,37.545208,127.047142
ST-366,서울특별시 성동구 옥수동 192-2,,37.541367,127.017761
ST-365,서울특별시 성동구 동호로 99,금호역 3번출구,37.547928,127.015572
ST-364,서울특별시 성동구 광나루로 302,성동세무서 건너편,37.547913,127.062752
ST-363,서울특별시 성동구 동일로 313,군자지하보도 앞,37.559246,127.07341
ST-362,서울특별시 성동구 왕십리로 64,서울숲역 2번출구 앞,37.542816,127.04467
ST-361,서울특별시 성동구 동일로 213,비전교회 앞,37.551205,127.068932
ST-360,서울특별시 성동구 왕십리광장로 10-1,왕십리역 4번 출구 건너편,37.561096,127.036797
ST-359,서울특별시 성동구 고산자로 260,성동광진 교육지원청 앞,37.564606,127.036522
ST-358,서울특별시 성동구 무학로10길 6,도선동 주민센터 앞,37.567642,127.025696
ST-357,서울특별시 성동구 금호동4가 367-1,달맞이공원,37.542053,127.020401
ST-356,서울특별시 성동구 광나루로 297,성동세무서 부근,37.548164,127.06237
