일시,구분,미세먼지(PM10),초미세먼지(PM25)
2023-12-31 23:00,평균,31,25
2023-12-31 23:00,강남구,33,30
2023-12-31 23:00,강동구,32,20
2023-12-31 23:00,강북구,14,12
2023-12-31 23:00,강서구,36,24
2023-12-31 23:00,관악구,46,36
2023-12-31 23:00,광진구,27,21
2023-12-31 23:00,구로구,38,31
2023-12-31 23:00,금천구,32,28
2023-12-31 23:00,노원구,25,24
2023-12-31 23:00,도봉구,21,15
2023-12-31 23:00,동대문구,29,25
2023-12-31 23:00,동작구,33,25
2023-12-31 23:00,마포구,34,30
2023-12-31 23:00,서대문구,31,29
2023-12-31 23:00,서초구,33,24
2023-12-31 23:00,성동구,30,26
2023-12-31 23:00,성북구,,25
2023-12-31 23:00,송파구,30,21
2023-12-31 23:00,양천구,36,31
2023-12-31 23:00,영등포구,29,24
2023-12-31 23:00,용산구,40,29
2023-12-31 23:00,은평구,27,21
2023-12-31 23:00,종로구,27,23
2023-12-31 23:00,중구,,29
2023-12-31 23:00,중랑구,30,21
2023-12-31 22:00,평균,28,24
2023-12-31 22:00,강남구,32,26
2023-12-31 22:00,강동구,27,26
2023-12-31 22:00,강북구,8,7
2023-12-31 22:00,강서구,33,23
2023-12-31 22:00,관악구,44,35
2023-12-31 22:00,광진구,23,18
2023-12-31 22:00,구로구,30,29
2023-12-31 22:00,금천구,30,26
2023-12-31 22:00,노원구,23,18
2023-12-31 22:00,도봉구,11,11
2023-12-31 22:00,동대문구,28,23
2023-12-31 22:00,동작구,31,24
2023-12-31 22:00,마포구,30,24
2023-12-31 22:00,서대문구,30,29
2023-12-31 22:00,서초구,42,27
2023-12-31 22:00,성동구,33,28
2023-12-31 22:00,성북구,18,18
2023-12-31 22:00,송파구,26,23
2023-12-31 22:00,양천구,36,32
2023-12-31 22:00,영등포구,28,23
2023-12-31 22:00,용산구,41,33
2023-12-31 22:00,은평구,,19
2023-12-31 22:00,종로구,25,23
2023-12-31 22:00,중구,28,27
2023-12-31 22:00,중랑구,20,18
2023-12-31 21:00,평균,27,23
2023-12-31 21:00,강남구,35,30
2023-12-31 21:00,강동구,25,22
2023-12-31 21:00,강북구,8,6
2023-12-31 21:00,강서구,36,25
2023-12-31 21:00,관악구,45,36
2023-12-31 21:00,광진구,22,19
2023-12-31 21:00,구로구,,27
2023-12-31 21:00,금천구,26,24
2023-12-31 21:00,노원구,23,20
2023-12-31 21:00,도봉구,12,14
2023-12-31 21:00,동대문구,34,27
2023-12-31 21:00,동작구,30,23
2023-12-31 21:00,마포구,31,24
2023-12-31 21:00,서대문구,,29
2023-12-31 21:00,서초구,29,21
2023-12-31 21:00,성동구,31,25
2023-12-31 21:00,성북구,23,20
2023-12-31 21:00,송파구,24,21
2023-12-31 21:00,양천구,34,29
2023-12-31 21:00,영등포구,26,23
2023-12-31 21:00,용산구,42,33
2023-12-31 21:00,은평구,21,17
2023-12-31 21:00,종로구,,23
2023-12-31 21:00,중구,28,26
2023-12-31 21:00,중랑구,19,16
2023-12-31 20:00,평균,25,21
2023-12-31 20:00,강남구,28,24
2023-12-31 20:00,강동구,31,
