iter	RMSE
0	0.4163417686
1	0.4123261255
2	0.4087663636
3	0.4055147679
4	0.4025717969
5	0.3998582403
6	0.3973624175
7	0.3937670261
8	0.3905154462
9	0.387490986
10	0.3848096087
11	0.3823522387
12	0.3800694151
13	0.3779640842
14	0.3760780049
15	0.374385134
16	0.3727915464
17	0.3713087233
18	0.3700162569
19	0.3687395183
20	0.3675955271
21	0.3665796057
22	0.3656339645
23	0.3647332372
24	0.363960988
25	0.3632497554
26	0.3626511824
27	0.3620406749
28	0.3614924703
29	0.3610226177
30	0.3605570841
31	0.3601247625
32	0.3597327303
33	0.3593760238
34	0.3590187823
35	0.3587549347
36	0.358479208
37	0.3581764056
38	0.3579147717
39	0.3576826132
40	0.3574790415
41	0.3572903759
42	0.3571034118
43	0.3569205961
44	0.3567572588
45	0.3565947118
46	0.3564370262
47	0.3563137455
48	0.3561834458
49	0.3560663809
50	0.3559673429
51	0.3558223441
52	0.3557348855
53	0.3556580465
54	0.3555555046
55	0.3554682922
56	0.3553484917
57	0.3552664725
58	0.3551905775
59	0.3551328791
60	0.3550870666
61	0.3550290337
62	0.3549820718
63	0.3549354343
64	0.3548654111
65	0.3547892956
66	0.3547282248
67	0.3546695275
68	0.3546144099
69	0.3545699232
70	0.3545026759
71	0.3544561367
72	0.3544130909
73	0.3543746697
74	0.3543350956
75	0.354290562
76	0.3542626672
77	0.354234111
78	0.3541861586
79	0.3541460737
80	0.3541152917
81	0.3540897666
82	0.3540597915
83	0.3540042708
84	0.3539656143
85	0.3539245438
86	0.3538852107
87	0.3538602354
88	0.3538387245
89	0.3538150615
90	0.3537960798
91	0.3537686203
92	0.3537341675
93	0.3537136154
94	0.3536748765
95	0.3536531009
96	0.3536350207
97	0.3535901991
98	0.3535716711
99	0.3535413038
100	0.353525206
101	0.3535025927
102	0.3534556411
103	0.3534541323
104	0.3534374767
105	0.3533941678
106	0.353378972
107	0.3533691081
108	0.3533423057
109	0.3533355104
110	0.3533265943
111	0.353299968
112	0.3532852692
113	0.3532688057
114	0.3532565042
115	0.353223844
116	0.3531984803
117	0.3531928928
118	0.3531809932
119	0.353171102
120	0.3531589592
121	0.3531387962
122	0.3531252793
123	0.3531104674
124	0.3531067225
125	0.3531003502
126	0.353080594
127	0.3530780193
128	0.3530619694
129	0.3530556233
130	0.3530546959
131	0.3530409012
132	0.3530272557
133	0.3530042513
134	0.3529796304
135	0.3529596861
136	0.3529375852
137	0.3529303518
138	0.3529214852
139	0.3529214058
140	0.352900534
141	0.3528972079
142	0.3528700217
143	0.3528629452
144	0.3528476109
145	0.3528457013
146	0.3528457013
147	0.3528453363
148	0.3528324277
149	0.3528266048
150	0.3528150758
151	0.3528030163
152	0.3528027018
153	0.352796119
154	0.3527958062
155	0.3527833159
156	0.352772554
157	0.3527679584
158	0.3527582559
159	0.3527501166
160	0.3527456444
161	0.3527411599
162	0.3527376641
163	0.352733427
164	0.3527301894
165	0.3527224695
166	0.3527145871
167	0.3527125045
168	0.3527084412
169	0.3527026644
170	0.3526936792
171	0.3526912897
172	0.3526850958
173	0.3526786351
174	0.3526716132
175	0.3526648741
176	0.35266027
177	0.352657335
178	0.3526564674
179	0.3526564346
180	0.3526535656
181	0.3526297681
182	0.3526297321
183	0.3526250322
184	0.3526143524
185	0.3526127399
186	0.3526089013
187	0.3526079202
188	0.3525994745
189	0.3525811635
190	0.352578517
191	0.3525719843
192	0.3525511014
193	0.3525511014
194	0.3525421268
195	0.3525323199
196	0.3525279374
197	0.3525220708
198	0.3525206488
199	0.3525206215
200	0.3525107059
201	0.3525044485
202	0.3524979974
203	0.3524887267
204	0.3524827964
205	0.3524816702
206	0.3524644749
207	0.3524586661
208	0.3524503704
209	0.3524415457
210	0.3524372423
211	0.3524364492
212	0.3524325775
213	0.3524157366
214	0.3524140227
215	0.3524089609
216	0.3524034657
217	0.3524025418
218	0.3524002834
219	0.3523943216
220	0.3523907095
221	0.3523762752
222	0.3523748093
223	0.3523685547
224	0.3523654213
225	0.3523407988
226	0.3523358606
227	0.3523293534
228	0.3523288575
229	0.352325091
230	0.3523125779
231	0.3523077681
