iter	Passed	Remaining
0	11	11760
1	19	9960
2	26	8698
3	33	8434
4	41	8229
5	49	8143
6	56	8019
7	63	7875
8	68	7573
9	74	7364
10	80	7235
11	85	7019
12	90	6897
13	96	6816
14	104	6875
15	110	6795
16	116	6739
17	122	6656
18	126	6553
19	132	6498
20	137	6416
21	142	6344
22	148	6317
23	154	6287
24	160	6278
25	173	6507
26	178	6443
27	184	6409
28	190	6362
29	195	6315
30	199	6249
31	206	6260
32	213	6252
33	218	6212
34	224	6185
35	229	6146
36	235	6140
37	241	6119
38	247	6095
39	253	6082
40	258	6055
41	265	6048
42	270	6022
43	276	6010
44	282	5990
45	288	5973
46	294	5979
47	299	5947
48	305	5927
49	312	5929
50	317	5903
51	323	5889
52	329	5881
53	336	5899
54	342	5882
55	349	5896
56	355	5880
57	361	5877
58	367	5866
59	373	5850
60	379	5836
61	384	5813
62	389	5795
63	398	5823
64	407	5867
65	414	5859
66	421	5872
67	428	5872
68	434	5856
69	441	5872
70	447	5858
71	453	5846
72	459	5831
73	465	5823
74	471	5811
75	477	5800
76	483	5800
77	490	5793
78	496	5789
79	503	5790
80	510	5789
81	517	5796
82	525	5806
83	533	5820
84	540	5816
85	547	5815
86	553	5810
87	561	5822
88	568	5818
89	574	5808
90	580	5802
91	587	5801
92	594	5802
93	601	5795
94	607	5785
95	613	5779
96	620	5773
97	627	5778
98	634	5772
99	640	5766
100	646	5756
101	654	5761
102	660	5752
103	663	5719
104	670	5713
105	676	5707
106	684	5710
107	690	5704
108	697	5700
109	703	5690
110	709	5681
111	716	5681
112	722	5673
113	729	5665
114	736	5664
115	743	5664
116	750	5666
117	758	5668
118	764	5658
119	770	5650
120	777	5645
121	783	5635
122	788	5625
123	795	5619
124	801	5612
125	807	5604
126	814	5601
127	820	5590
128	826	5581
129	832	5573
130	839	5566
131	845	5562
132	852	5554
133	858	5549
134	864	5541
135	871	5539
136	877	5530
137	884	5527
138	890	5517
139	893	5488
140	899	5480
141	905	5472
142	911	5462
143	917	5452
144	923	5446
145	930	5440
146	934	5419
147	938	5400
148	944	5393
149	950	5387
150	956	5375
151	962	5369
152	966	5351
153	972	5341
154	975	5319
155	982	5316
156	989	5311
157	996	5312
158	1003	5308
159	1009	5300
160	1017	5300
161	1023	5294
162	1031	5296
163	1038	5291
164	1044	5284
165	1050	5278
166	1056	5272
167	1063	5268
168	1070	5263
169	1076	5256
170	1082	5247
171	1086	5232
172	1094	5231
173	1101	5228
174	1107	5222
175	1114	5219
176	1121	5215
177	1128	5209
178	1132	5193
179	1135	5170
180	1141	5165
181	1149	5166
182	1151	5142
183	1160	5147
184	1168	5147
185	1175	5144
186	1183	5143
187	1190	5143
188	1197	5139
189	1204	5134
190	1210	5129
191	1217	5123
192	1226	5126
193	1228	5105
194	1234	5098
195	1241	5093
196	1248	5090
197	1256	5087
198	1263	5084
199	1266	5064
200	1273	5063
201	1282	5065
202	1295	5084
203	1310	5113
204	1317	5108
205	1323	5102
206	1330	5098
207	1337	5093
208	1345	5091
209	1351	5086
210	1359	5083
211	1365	5077
212	1372	5070
213	1378	5063
214	1385	5059
215	1392	5053
216	1399	5049
217	1405	5043
218	1412	5038
219	1420	5035
220	1427	5032
221	1433	5025
222	1440	5019
223	1446	5011
224	1453	5007
225	1460	5000
226	1468	5000
227	1478	5004
228	1485	5001
229	1495	5007
230	1505	5012
231	1514	5012
232	1520	5006
233	1527	5001
234	1533	4993
235	1540	4986
236	1548	4984
237	1555	4980
238	1563	4976
239	1567	4962
240	1573	4955
241	1582	4957
242	1589	4952
243	1596	4947
244	1604	4944
245	1611	4939
246	1618	4934
247	1625	4928
248	1633	4926
249	1640	4921
250	1647	4916
251	1654	4910
252	1661	4906
253	1668	4899
254	1674	4891
255	1681	4886
256	1687	4879
257	1694	4873
258	1701	4867
259	1707	4859
260	1714	4853
261	1721	4848
262	1728	4843
263	1735	4837
264	1742	4832
265	1749	4827
266	1756	4821
267	1763	4817
268	1769	4808
269	1775	4801
270	1782	4794
271	1789	4789
272	1796	4784
273	1802	4776
274	1809	4770
275	1815	4763
276	1822	4757
277	1829	4752
278	1839	4753
279	1846	4747
280	1853	4742
281	1860	4737
282	1867	4732
283	1875	4727
284	1881	4719
285	1887	4712
286	1894	4707
287	1900	4699
288	1907	4692
289	1914	4686
290	1921	4680
291	1927	4674
292	1935	4669
293	1943	4666
294	1950	4661
295	1957	4655
296	1963	4647
297	1969	4640
298	1977	4635
299	1984	4630
300	1990	4622
301	1997	4617
302	2004	4611
303	2011	4605
304	2018	4599
305	2025	4593
306	2032	4587
307	2039	4581
308	2046	4576
309	2053	4569
310	2059	4563
311	2067	4558
312	2073	4550
313	2079	4543
314	2086	4536
315	2093	4531
316	2100	4526
317	2108	4521
318	2114	4514
319	2123	4512
320	2130	4506
321	2138	4502
322	2144	4495
323	2151	4488
324	2157	4480
325	2164	4474
326	2169	4465
327	2177	4462
328	2184	4455
329	2191	4449
330	2197	4441
331	2203	4434
332	2210	4428
333	2217	4421
334	2224	4416
335	2231	4410
336	2238	4403
337	2245	4397
338	2251	4390
339	2257	4383
340	2263	4375
341	2269	4366
342	2275	4359
343	2282	4352
344	2288	4345
345	2295	4338
346	2301	4331
347	2308	4324
348	2314	4318
349	2321	4311
350	2328	4305
351	2334	4297
352	2340	4290
353	2346	4282
354	2353	4276
355	2359	4267
356	2366	4263
357	2373	4256
358	2379	4249
359	2386	4243
360	2393	4236
361	2399	4229
362	2405	4220
363	2411	4213
364	2417	4205
365	2423	4198
366	2429	4190
367	2438	4187
368	2444	4180
369	2452	4175
370	2461	4172
371	2468	4167
372	2474	4159
373	2481	4152
374	2487	4146
375	2493	4138
376	2499	4131
377	2506	4124
378	2512	4117
379	2519	4110
380	2525	4102
381	2531	4095
382	2536	4086
383	2543	4079
384	2549	4072
385	2555	4064
386	2561	4057
387	2567	4050
388	2576	4046
389	2585	4043
390	2591	4036
391	2597	4028
392	2604	4022
393	2611	4015
394	2617	4008
395	2623	4001
396	2631	3996
397	2637	3989
398	2644	3982
399	2651	3977
400	2659	3972
401	2665	3965
402	2672	3959
403	2679	3952
404	2686	3946
405	2692	3939
406	2698	3931
407	2704	3924
408	2711	3917
409	2717	3910
410	2722	3902
411	2728	3894
412	2734	3887
413	2740	3879
414	2747	3872
415	2753	3866
416	2760	3859
417	2767	3853
418	2773	3846
419	2780	3840
420	2787	3833
421	2793	3826
422	2800	3820
423	2806	3812
