출발일시(start_dt),도착일시(arv_dt),출발지 코드(start_place_cd),도착지 코드(arv_place_cd),성별(sex_nm),연령대(agegrd_nm),출발 도착지 이동유형(start_arv_place_type),총이동시간(mvmn_time_sum),이동거리(mvmn_dstc),인구수(popl_cnt)
2019-09-30 05:00,2019-10-01 01:00,110107,350124,F,15,HE,1194,188308,4.06
2019-09-30 06:00,2019-10-01 00:20,110987,340217,M,25,EH,1086,82548,2.29
2019-09-30 06:20,2019-10-01 00:00,210353,111424,M,60,EH,1051,312459,3.48
2019-09-30 06:40,2019-10-01 01:00,111476,350476,F,20,HE,1105,167493,2.18
2019-09-30 07:00,2019-10-01 01:00,230489,110189,F,45,HE,1077,62420,3.34
2019-09-30 07:00,2019-10-01 01:20,380327,111361,F,20,HE,1113,294590,2.21
2019-09-30 07:20,2019-10-01 01:20,111037,390432,M,35,EE,1079,480868,2.73
2019-09-30 07:20,2019-10-01 01:40,111037,390308,F,25,EH,1096,483589,2.06
2019-09-30 07:40,2019-10-01 01:00,110546,350080,M,60,EE,1042,198189,3.55
2019-09-30 07:40,2019-10-01 07:00,390179,110948,M,50,EE,1398,446262,3.31
2019-09-30 08:00,2019-10-01 01:00,110752,350132,M,20,EH,1016,200247,2.63
2019-09-30 08:00,2019-10-01 02:20,111415,380575,M,35,EE,1114,320797,2.70
2019-09-30 08:20,2019-10-01 00:00,111711,220254,F,75,HE,928,225496,8.78
2019-09-30 08:20,2019-10-01 01:40,110952,240030,M,35,HE,1030,263132,2.74
2019-09-30 08:20,2019-10-01 02:00,111289,240120,F,20,HE,1067,260903,2.20
2019-09-30 08:40,2019-10-01 01:20,111130,360195,M,25,EH,997,311977,2.30
2019-09-30 08:40,2019-10-01 07:40,111191,341352,M,40,EE,1378,112349,3.03
2019-09-30 09:00,2019-10-01 01:00,110806,240476,M,50,EE,955,264781,3.30
2019-09-30 09:00,2019-10-01 01:20,111037,390084,F,25,EE,982,447619,2.05
2019-09-30 09:00,2019-10-01 01:20,360267,110047,M,80,EE,982,283855,9.56
2019-09-30 09:00,2019-10-01 06:20,210008,110034,F,25,EH,1267,329386,2.02
2019-09-30 09:00,2019-10-01 08:40,330109,110488,F,50,EE,1432,107701,3.12
2019-09-30 09:40,2019-10-01 01:20,111601,240060,M,30,EE,958,258744,2.32
2019-09-30 09:40,2019-10-01 01:40,111037,390400,M,15,EE,957,479161,4.52
2019-09-30 10:00,2019-10-01 00:20,111037,390098,M,30,EE,861,454999,2.37
2019-09-30 10:00,2019-10-01 05:00,111371,320979,M,25,EE,1153,119088,2.23
2019-09-30 10:20,2019-10-01 00:00,390375,111179,F,25,EE,816,471453,2.04
2019-09-30 10:20,2019-10-01 01:20,111037,390392,F,40,EE,885,470127,3.44
2019-09-30 10:20,2019-10-01 08:00,111269,330025,M,45,EE,1301,87349,3.17
2019-09-30 10:40,2019-10-01 00:20,111688,250410,M,20,EH,806,125303,2.71
2019-09-30 10:40,2019-10-01 01:20,311960,110180,F,30,EE,879,47902,2.39
2019-09-30 10:40,2019-10-01 02:20,312147,110250,F,45,EE,928,61589,3.34
2019-09-30 10:40,2019-10-01 07:40,320499,110029,M,60,EE,1246,155938,3.53
2019-09-30 10:40,2019-10-01 09:00,290100,111539,M,45,WE,1339,114037,3.18
2019-09-30 10:40,2019-10-01 10:40,320144,110070,M,30,EE,1433,87455,2.37
2019-09-30 11:00,2019-10-01 04:20,110082,312102,M,50,EE,1039,62585,3.30
2019-09-30 11:00,2019-10-01 06:00,320589,110267,M,25,EH,1142,69326,2.27
2019-09-30 11:20,2019-10-01 01:40,111037,390442,F,15,EE,856,478114,4.11
2019-09-30 11:20,2019-10-01 08:20,320362,111724,F,25,EE,1259,161762,2.06
2019-09-30 11:20,2019-10-01 10:00,350511,110839,M,45,EW,1353,175820,3.16
2019-09-30 11:20,2019-10-01 10:20,370662,111806,M,55,EE,1382,193942,3.31
2019-09-30 11:40,2019-10-01 01:00,111037,390049,F,40,EE,809,458613,3.45
2019-09-30 11:40,2019-10-01 02:00,320076,110137,M,35,HW,862,77551,2.71
2019-09-30 11:40,2019-10-01 04:20,111573,321067,F,25,EE,984,158217,2.06
2019-09-30 11:40,2019-10-01 08:00,111737,321006,F,60,EE,1222,113379,3.84
2019-09-30 11:40,2019-10-01 09:20,110474,330247,F,55,EE,1295,120003,3.26
2019-09-30 12:00,2019-10-01 01:00,111037,390151,F,20,EE,776,451757,2.19
2019-09-30 12:00,2019-10-01 01:00,111671,360436,M,20,EE,774,276561,2.68
2019-09-30 12:00,2019-10-01 02:40,111471,350506,F,20,EH,879,171590,2.16
2019-09-30 12:00,2019-10-01 08:40,390179,110797,F,50,EE,1239,453654,3.12
2019-09-30 12:20,2019-10-01 00:20,210689,110084,F,60,HE,716,328397,3.77
2019-09-30 12:20,2019-10-01 00:40,111202,320439,M,25,HE,735,199565,2.28
2019-09-30 12:20,2019-10-01 07:00,110454,290100,M,45,EE,1135,126080,3.08
2019-09-30 12:20,2019-10-01 07:20,111601,330868,M,40,EW,1148,66942,2.95
2019-09-30 12:20,2019-10-01 08:40,370683,111667,M,45,EE,1207,188640,3.17
2019-09-30 12:20,2019-10-01 09:20,110152,360047,F,20,EE,1262,304420,2.19
2019-09-30 12:40,2019-10-01 02:00,330258,111440,F,70,EH,787,106772,5.72
2019-09-30 12:40,2019-10-01 09:40,111207,250367,M,45,WE,1244,132138,3.22
2019-09-30 13:00,2019-10-01 01:00,111523,310712,M,20,EE,721,47922,2.72
2019-09-30 13:00,2019-10-01 01:00,313006,111401,M,35,HE,717,53806,2.72
2019-09-30 13:00,2019-10-01 01:20,320110,111336,M,45,WE,735,78276,3.17
2019-09-30 13:00,2019-10-01 05:20,360446,110260,F,65,EE,984,281985,9.36
2019-09-30 13:00,2019-10-01 08:40,330876,111246,M,55,EE,1176,78332,3.31
2019-09-30 13:00,2019-10-01 09:00,111184,370296,M,50,EE,1203,275068,3.31
2019-09-30 13:00,2019-10-01 12:20,111143,320133,M,50,EE,1410,87728,3.29
2019-09-30 13:20,2019-10-01 00:20,111365,340140,F,20,HE,651,66102,2.19
2019-09-30 13:20,2019-10-01 02:00,230027,111525,F,25,HW,759,51662,2.01
2019-09-30 13:20,2019-10-01 06:20,320650,111649,M,55,EE,1024,67559,3.30
2019-09-30 13:20,2019-10-01 07:20,330470,110894,M,35,EE,1087,99119,2.72
2019-09-30 13:20,2019-10-01 08:20,320107,111510,M,25,EW,1143,75331,2.26
2019-09-30 13:20,2019-10-01 08:40,380861,111602,M,55,EW,1154,295239,3.27
