해당일,시간대,압구정로11길,잠원로상단,잠원로하단
20230901,0,21.0,23.0,24.666666666666700
20230901,1,21.0,21.0,21.25
20230901,2,21.0,26.875,20.875
20230901,3,21.0,35.0,19.0
20230901,4,21.0,24.625,23.375
20230901,5,21.0,33.6,25.4
20230901,6,21.0,25.142857142857100,30.428571428571400
20230901,7,21.0,28.0,27.833333333333300
20230901,8,21.0,27.166666666666700,25.166666666666700
20230901,9,21.0,28.571428571428600,21.142857142857100
20230901,10,21.0,26.6,22.0
20230901,11,21.0,21.25,21.0
20230901,12,21.0,27.125,22.0
20230901,13,21.0,23.0,22.0
20230901,14,21.0,28.125,22.5
20230901,15,21.0,27.0,22.5
20230901,16,21.0,26.571428571428600,19.571428571428600
20230901,17,21.0,25.0,13.0
20230901,18,21.0,29.6,21.4
20230901,19,21.0,30.428571428571400,19.714285714285700
20230901,20,21.0,30.0,19.5
20230901,21,21.0,29.75,20.375
20230901,22,21.0,18.0,24.0
20230901,23,21.0,23.0,26.125
20230902,0,21.0,24.25,24.5
20230902,1,21.0,25.6,23.4
20230902,2,21.0,30.428571428571400,25.285714285714300
20230902,3,21.0,34.0,24.333333333333300
20230902,4,21.0,29.375,26.5
20230902,5,21.0,29.4,24.0
20230902,6,21.0,23.857142857142900,21.428571428571400
20230902,7,21.0,20.0,17.0
20230902,8,21.0,19.714285714285700,21.857142857142900
20230902,9,21.0,21.2,20.6
20230902,10,21.0,17.75,15.75
20230902,11,21.0,19.375,20.25
20230902,12,21.0,19.0,23.0
20230902,13,21.0,21.875,23.75
20230902,14,21.0,21.5,22.5
20230902,15,21.0,22.90909090909090,23.272727272727300
20230902,16,21.0,23.0,27.0
20230902,17,21.0,23.857142857142900,21.857142857142900
20230902,18,21.0,21.8,23.6
20230902,19,21.0,25.5,23.5
20230902,20,21.0,26.0,20.5
20230902,21,21.0,27.5,19.5
20230902,22,21.0,25.714285714285700,22.428571428571400
20230902,23,21.0,26.25,22.5
20230903,0,21.0,25.5,22.125
20230903,1,21.0,28.4,15.4
