해당일,시간대,압구정로11길,잠원로상단,잠원로하단
20230501,0,14.0,34.25,27.375
20230501,1,14.0,33.5,20.666666666666668
20230501,2,14.0,22.6,18.8
20230501,3,14.0,34.833333333333336,15.5
20230501,4,14.0,34.8,23.6
20230501,5,13.75,29.0,19.555555555555557
20230501,6,12.0,29.4,18.6
20230501,7,12.0,37.8,29.0
20230501,8,12.4,31.0,24.6
20230501,9,11.5,33.0,23.2
20230501,10,15.833333333333334,29.666666666666668,21.5
20230501,11,14.333333333333334,29.5,20.666666666666668
20230501,12,14.3,30.4,21.4
20230501,13,8.0,28.666666666666668,23.166666666666668
20230501,14,7.0,31.166666666666668,22.5
20230501,15,11.375,27.0,21.875
20230501,16,13.2,27.4,24.6
20230501,17,8.2,28.0,20.0
20230501,18,12.7,27.6,23.6
20230501,19,9.0,28.8,21.6
20230501,20,9.5,32.0,21.4
20230501,21,4.0,27.4,21.2
20230501,22,4.0,24.0,22.333333333333332
20230501,23,4.0,28.0,23.166666666666668
20230501,0,14.0,35.5,21.25
20230501,1,14.0,39.0,23.5
20230501,2,14.0,34.666666666666664,24.666666666666668
20230501,3,14.0,38.5,27.0
20230501,4,14.0,35.333333333333336,17.0
20230501,5,13.5,29.666666666666668,18.0
20230501,6,12.0,27.5,18.5
20230501,7,12.0,30.0,24.5
20230501,8,12.25,36.0,22.5
20230501,9,11.5,34.5,21.5
20230501,10,16.0,28.5,25.0
20230501,11,15.5,34.5,20.0
20230501,12,14.5,25.666666666666668,21.333333333333332
20230501,13,10.5,27.5,21.5
20230501,14,7.0,29.5,24.0
20230501,15,12.125,27.75,20.0
20230501,16,11.75,24.5,21.0
20230501,17,10.0,26.5,19.0
20230501,18,11.0,29.0,19.0
20230501,19,9.0,28.5,22.5
20230501,20,8.0,34.333333333333336,21.333333333333332
20230501,21,4.0,24.0,21.0
20230501,22,4.0,18.5,20.5
20230501,23,4.0,28.0,27.0
20230502,0,7.625,24.625,16.875
20230502,1,13.0,25.166666666666668,21.0
20230502,2,13.0,22.833333333333332,22.833333333333332
20230502,3,13.0,22.5,18.0
20230502,4,13.0,38.6,21.0
20230502,5,13.0,24.11111111111111,26.11111111111111
20230502,6,13.0,27.8,22.0
20230502,7,13.0,21.6,19.4
20230502,8,13.0,30.8,22.0
20230502,9,13.125,28.75,19.0
20230502,10,12.416666666666666,26.166666666666668,22.0
20230502,11,12.583333333333334,26.0,21.666666666666668
20230502,12,12.875,28.8,22.0
20230502,13,14.6,33.4,20.6
20230502,14,12.666666666666666,27.833333333333332,19.666666666666668
20230502,15,11.375,28.625,21.0
20230502,16,9.6,29.833333333333332,20.666666666666668
20230502,17,9.6,26.4,18.4
20230502,18,11.4,26.6,19.2
20230502,19,12.8,28.8,25.6
20230502,20,10.0,29.0,19.5
20230502,21,10.083333333333334,27.0,18.833333333333332
20230502,22,11.166666666666666,25.666666666666668,21.5
20230502,23,9.0,19.5,21.0
20230502,0,6.75,24.25,18.5
20230502,1,13.0,26.5,22.5
20230502,2,13.0,18.0,21.0
20230502,3,13.0,28.0,23.5
20230502,4,13.0,30.333333333333332,21.0
20230502,5,13.0,24.333333333333332,33.0
20230502,6,13.0,25.5,23.5
20230502,7,13.0,19.5,22.0
20230502,8,13.0,21.0,19.0
20230502,9,13.333333333333334,30.333333333333332,18.666666666666668
20230502,10,12.5,28.0,20.5
20230502,11,12.25,28.0,20.5
20230502,12,12.875,29.333333333333332,21.0
20230502,13,15.166666666666666,30.333333333333332,20.666666666666668
20230502,14,12.5,28.5,21.5
20230502,15,11.375,28.25,21.5
20230502,16,10.0,25.0,20.0
20230502,17,8.5,24.5,19.5
20230502,18,11.0,25.5,20.0
20230502,19,12.75,32.0,24.5
20230502,20,9.75,30.0,22.0
20230502,21,10.0,26.0,22.0
20230502,22,11.25,26.5,21.5
20230502,23,11.833333333333334,21.5,19.5
20230503,0,16.0,25.25,21.5
20230503,1,16.0,26.166666666666668,21.666666666666668
20230503,2,16.0,22.666666666666668,22.333333333333332
20230503,3,16.0,27.0,19.166666666666668
20230503,4,16.0,27.0,15.0
20230503,5,16.0,24.25,17.625
20230503,6,16.0,25.8,27.2
20230503,7,16.3,24.4,20.2
20230503,8,16.375,28.8,17.2
20230503,9,16.0,28.4,20.4
20230503,10,16.166666666666668,24.5,20.333333333333332
20230503,11,15.666666666666666,27.0,20.833333333333332
20230503,12,15.75,26.0,23.25
20230503,13,15.0,31.333333333333332,22.666666666666668
20230503,14,10.5,30.666666666666668,21.333333333333332
20230503,15,9.0625,25.88888888888889,20.444444444444443
20230503,16,8.9,23.6,20.2
20230503,17,9.8,31.0,19.0
20230503,18,12.4,27.6,18.8
20230503,19,10.75,30.25,17.5
20230503,20,12.6,29.6,18.8
20230503,21,11.0,27.166666666666668,19.0
20230503,22,11.0,22.0,25.833333333333332
20230503,23,11.0,23.166666666666668,24.833333333333332
20230503,0,16.0,22.25,20.5
20230503,1,16.0,22.5,19.5
20230503,2,16.0,27.0,22.5
20230503,3,16.0,28.0,22.0
20230503,4,16.0,30.666666666666668,16.666666666666668
20230503,5,16.0,24.5,18.25
20230503,6,16.0,22.5,24.0
20230503,7,16.75,20.5,27.5
20230503,8,16.833333333333332,28.5,18.0
20230503,9,15.75,31.5,21.5
20230503,10,16.0,23.0,20.0
20230503,11,16.25,23.0,21.5
20230503,12,15.875,30.25,20.75
20230503,13,13.5,32.5,22.5
20230503,14,10.0,30.0,20.5
20230503,15,9.625,25.666666666666668,21.0
20230503,16,8.0,24.5,20.5
20230503,17,9.0,25.5,18.5
20230503,18,12.5,30.5,20.5
20230503,19,10.0,25.666666666666668,19.0
20230503,20,12.333333333333334,30.0,19.666666666666668
20230503,21,11.0,24.5,19.5
20230503,22,11.0,21.5,28.5
20230503,23,11.0,20.5,23.0
20230504,0,25.0,21.25,27.625
20230504,1,27.0,33.666666666666664,25.5
20230504,2,27.0,29.666666666666668,23.166666666666668
20230504,3,27.0,31.333333333333332,23.166666666666668
20230504,4,27.0,30.0,23.0
20230504,5,27.0,24.75,19.0
20230504,6,25.5,25.2,25.2
20230504,7,19.2,27.2,20.6
20230504,8,17.25,23.6,23.0
20230504,9,14.8,26.4,22.0
20230504,10,12.5,26.5,20.333333333333332
20230504,11,15.333333333333334,28.333333333333332,20.666666666666668
20230504,12,15.75,29.75,21.5
20230504,13,12.666666666666666,25.5,23.0
20230504,14,11.0,30.666666666666668,21.5
20230504,15,11.5,27.444444444444443,21.0
20230504,16,9.6,23.4,21.0
20230504,17,14.6,23.6,19.4
20230504,18,14.25,25.6,18.2
20230504,19,13.0,27.0,19.0
20230504,20,17.0,28.4,19.0
20230504,21,14.5,28.666666666666668,20.0
20230504,22,12.0,24.8,22.6
20230504,23,10.0,22.166666666666668,25.166666666666668
20230504,0,23.0,25.0,26.25
20230504,1,27.0,31.0,26.0
20230504,2,27.0,37.5,20.5
20230504,3,27.0,35.0,22.0
20230504,4,27.0,30.333333333333332,22.666666666666668
20230504,5,27.0,24.25,25.0
20230504,6,23.5,30.5,24.0
