"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-005","뚝섬4주차장","149075","15271377","2025"
"PLT-010","잠원2-6주차장","423844","47784310","2025"
"PLT-002","난지1,2,3,4주차장","253108","16765707","2025"
"PLT-011","잠실1주차장","390533","16885877","2025"
"PLT-008","여의도1주차장","467690","68119425","2025"
"PLT-008","여의도4주차장","31866","9212286","2025"
"PLT-008","여의도2주차장","284083","33771091","2025"
"PLT-007","양화1주차장","61547","7035309","2025"
"PLT-009","반포1주차장","168263","11452070","2025"
"PLT-005","뚝섬3주차장","105950","12824402","2025"
"PLT-006","광나루1,2주차장","123459","11877781","2025"
"PLT-007","양화2주차장","13642","1326436","2025"
"PLT-006","광나루4주차장","59623","3437747","2025"
"PLT-011","잠실4주차장","95870","4511018","2025"
"PLT-003","망원1주차장","75281","7798511","2025"
"PLT-011","잠실2주차장","2848","346170","2025"
"PLT-007","양화3주차장","164895","15856113","2025"
"PLT-003","망원2주차장","133327","11039379","2025"
"PLT-003","망원2,3주차장","81786","6551385","2025"
"PLT-011","잠실2,3주차장","93335","11377600","2025"
"PLT-006","광나루3주차장","97032","7498452","2025"
"PLT-008","여의도5주차장","66686","16053987","2025"
"PLT-005","뚝섬2주차장","165114","24570787","2025"
"PLT-009","반포2,3주차장","568173","60071040","2025"
"PLT-002","난지1,2,3주차장","131285","5849532","2025"
"PLT-004","이촌3주차장","203895","20679629","2025"
"PLT-001","강서1주차장","45092","3202928","2025"
"PLT-008","여의도3주차장","323168","74543030","2025"
"PLT-010","잠원1주차장","122118","10101303","2025"
"PLT-004","이촌1주차장","46298","3515623","2025"
"PLT-005","뚝섬1주차장","49360","4022372","2025"
"PLT-004","이촌2주차장","60033","6617771","2025"
"PLT-011","잠실4주차장","675686","42704546","2024"
"PLT-001","강서1주차장","70266","5003463","2024"
"PLT-004","이촌3,4주차장","282291","27166065","2024"
"PLT-004","이촌2주차장","98778","9305627","2024"
"PLT-005","뚝섬2주차장","275642","34057665","2024"
"PLT-008","여의도1주차장","772757","104888013","2024"
"PLT-004","이촌3주차장","47309","4414864","2024"
"PLT-011","잠실1주차장","649134","25305359","2024"
"PLT-005","뚝섬4주차장","248552","25396876","2024"
"PLT-005","뚝섬1주차장","84104","6809624","2024"
"PLT-006","광나루3주차장","190158","16034666","2024"
"PLT-007","양화3주차장","269957","25859263","2024"
"PLT-009","반포2,3주차장","960692","77121787","2024"
"PLT-003","망원2,3주차장","362684","31899161","2024"
"PLT-010","잠원1주차장","166652","14170769","2024"
"PLT-006","광나루4주차장","90573","4272955","2024"
"PLT-008","여의도3주차장","541934","121789257","2024"
"PLT-002","난지1,2,3주차장","647690","41358948","2024"
"PLT-007","양화3,4,5주차장","4779","406134","2024"
"PLT-009","반포1주차장","293540","14404470","2024"
"PLT-006","광나루1,2주차장","237345","19513856","2024"
"PLT-008","여의도4주차장","57925","16303113","2024"
"PLT-008","여의도5주차장","108709","26512412","2024"
"PLT-008","여의도2주차장","492318","55752706","2024"
"PLT-007","양화2주차장","20410","1939652","2024"
"PLT-010","잠원2-6주차장","695018","72870220","2024"
"PLT-005","뚝섬3주차장","160100","17753716","2024"
"PLT-003","망원1주차장","125303","11273647","2024"
"PLT-007","양화1주차장","90568","9934030","2024"
"PLT-004","이촌1주차장","61952","4145169","2024"
"PLT-003","망원1주차장","125262","10324997","2023"
"PLT-010","잠원2-6주차장","669057","69885638","2023"
"PLT-005","뚝섬3주차장","154070","16272199","2023"
"PLT-008","여의도5주차장","107489","26967054","2023"
"PLT-009","반포2,3주차장","996044","73727761","2023"
"PLT-009","반포1주차장","305976","14574731","2023"
"PLT-008","여의도2주차장","385627","62033665","2023"
"PLT-007","양화2주차장","16385","1392603","2023"
"PLT-007","양화3,4,5주차장","284331","24234131","2023"
"PLT-010","잠원1주차장","230453","15132907","2023"
"PLT-006","광나루4주차장","42466","1506888","2023"
"PLT-008","여의도1주차장","777321","101667619","2023"
"PLT-005","뚝섬2주차장","268297","32825294","2023"
"PLT-008","여의도4주차장","66699","17236228","2023"
"PLT-003","망원2,3주차장","346388","31581211","2023"
"PLT-008","여의도3주차장","493785","120165454","2023"
"PLT-001","강서1주차장","69659","4861029","2023"
"PLT-004","이촌3,4주차장","326670","28832779","2023"
"PLT-006","광나루1,2주차장","255515","19299263","2023"
"PLT-005","뚝섬1주차장","97637","6925840","2023"
