"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-009","반포2,3주차장","31176","2949006","2025/08"
"PLT-011","잠실1주차장","18814","719837","2025/08"
"PLT-005","뚝섬4주차장","7919","796897","2025/08"
"PLT-004","이촌3주차장","10057","911432","2025/08"
"PLT-010","잠원2-6주차장","25096","3193104","2025/08"
"PLT-009","반포1주차장","9300","530103","2025/08"
"PLT-003","망원1주차장","3874","346603","2025/08"
"PLT-006","광나루3주차장","4536","322904","2025/08"
"PLT-008","여의도2주차장","14214","1696698","2025/08"
"PLT-007","양화2주차장","698","61537","2025/08"
"PLT-006","광나루4주차장","1927","151959","2025/08"
"PLT-004","이촌2주차장","2949","334122","2025/08"
"PLT-005","뚝섬3주차장","7213","1034039","2025/08"
"PLT-006","광나루1,2주차장","6129","544665","2025/08"
"PLT-008","여의도4주차장","1199","351095","2025/08"
"PLT-008","여의도5주차장","2891","647017","2025/08"
"PLT-007","양화1주차장","2839","310845","2025/08"
"PLT-007","양화3주차장","8431","819010","2025/08"
"PLT-008","여의도3주차장","18157","3738793","2025/08"
"PLT-008","여의도1주차장","24818","3196489","2025/08"
"PLT-001","강서1주차장","2613","164141","2025/08"
"PLT-005","뚝섬1주차장","2847","259432","2025/08"
"PLT-011","잠실2,3주차장","6960","849067","2025/08"
"PLT-010","잠원1주차장","7443","545263","2025/08"
"PLT-004","이촌1주차장","2472","177474","2025/08"
"PLT-003","망원2주차장","11900","916867","2025/08"
"PLT-002","난지1,2,3,4주차장","18688","1390610","2025/08"
"PLT-005","뚝섬2주차장","10033","1275835","2025/08"
"PLT-007","양화3주차장","22440","2165765","2025/07"
"PLT-006","광나루4주차장","8396","578500","2025/07"
"PLT-007","양화2주차장","1659","126676","2025/07"
"PLT-004","이촌3주차장","26186","2531337","2025/07"
"PLT-004","이촌2주차장","8555","1020645","2025/07"
"PLT-011","잠실1주차장","59873","2357790","2025/07"
"PLT-005","뚝섬1주차장","7196","559549","2025/07"
"PLT-008","여의도2주차장","34965","5008711","2025/07"
"PLT-005","뚝섬2주차장","23415","3234488","2025/07"
"PLT-010","잠원1주차장","19331","1557070","2025/07"
"PLT-004","이촌1주차장","6296","516496","2025/07"
"PLT-010","잠원2-6주차장","71562","9091457","2025/07"
"PLT-008","여의도5주차장","8567","2271342","2025/07"
"PLT-008","여의도4주차장","3968","1227112","2025/07"
"PLT-005","뚝섬4주차장","20773","2155742","2025/07"
"PLT-006","광나루3주차장","12690","974130","2025/07"
"PLT-008","여의도1주차장","61018","8981182","2025/07"
"PLT-003","망원1주차장","8723","795668","2025/07"
"PLT-006","광나루1,2주차장","16513","1553177","2025/07"
"PLT-008","여의도3주차장","45137","10907372","2025/07"
"PLT-009","반포1주차장","22071","1231927","2025/07"
"PLT-007","양화1주차장","7831","919020","2025/07"
"PLT-003","망원2주차장","28672","2172564","2025/07"
"PLT-002","난지1,2,3,4주차장","55930","3312877","2025/07"
"PLT-009","반포2,3주차장","79472","8947779","2025/07"
"PLT-011","잠실2,3주차장","20182","2671480","2025/07"
"PLT-005","뚝섬3주차장","17530","2400654","2025/07"
"PLT-001","강서1주차장","6526","400092","2025/07"
"PLT-008","여의도2주차장","39022","4983074","2025/06"
"PLT-005","뚝섬4주차장","24777","2539691","2025/06"
"PLT-009","반포1주차장","30262","2361391","2025/06"
"PLT-007","양화2주차장","2374","248336","2025/06"
"PLT-003","망원1주차장","12248","1190272","2025/06"
"PLT-004","이촌1주차장","8245","626948","2025/06"
"PLT-011","잠실2,3주차장","20969","2413789","2025/06"
"PLT-006","광나루1,2주차장","23553","2310345","2025/06"
"PLT-006","광나루3주차장","19021","1665787","2025/06"
"PLT-008","여의도4주차장","3951","1183415","2025/06"
"PLT-005","뚝섬1주차장","8342","766906","2025/06"
"PLT-002","난지1,2,3,4주차장","60904","4226152","2025/06"
"PLT-009","반포2,3주차장","100810","12433179","2025/06"
"PLT-007","양화1주차장","10253","1127528","2025/06"
"PLT-006","광나루4주차장","7899","496049","2025/06"
